OBJECTID,Location
2665,BioMed
10291,BioMed
39345,BioMed
31761,BioMed
34782,BioMed
34203,BioMed
40164,BioMed
18963,BioMed
2622,BioMed
10428,BioMed
36095,BioMed
6152,BioMed
39342,BioMed
18592,BioMed
33479,BioMed
13453,BioMed
15166,BioMed
9418,BioMed
34360,BioMed
41601,BioMed
12359,BioMed
41971,BioMed
2919,BioMed
19598,BioMed
15777,BioMed
9876,BioMed
41197,BioMed
21152,BioMed
22483,BioMed
36454,BioMed
18552,BioMed
8334,BioMed
14051,BioMed
40153,BioMed
7030,BioMed
2120,BioMed
25156,BioMed
26310,BioMed
39051,BioMed
40491,BioMed
31728,BioMed
39621,BioMed
31109,BioMed
29788,BioMed
33922,BioMed
23948,BioMed
5572,BioMed
40904,BioMed
40765,BioMed
1203,BioMed
24729,BioMed
14008,BioMed
41882,BioMed
23635,BioMed
9562,BioMed
3626,BioMed
36032,BioMed
39280,BioMed
6535,BioMed
40036,BioMed
37073,BioMed
17755,BioMed
42534,BioMed
29635,BioMed
15177,BioMed
3206,BioMed
24650,BioMed
39857,BioMed
18674,BioMed
39770,BioMed
42025,BioMed
32338,BioMed
39434,BioMed
39220,BioMed
495,BioMed
41344,BioMed
3406,BioMed
14028,BioMed
15599,BioMed
32329,BioMed
42575,BioMed
33172,BioMed
34641,BioMed
41818,BioMed
15421,BioMed
29199,BioMed
37503,BioMed
8690,BioMed
31791,BioMed
9337,Athletics
15834,Athletics
25348,Athletics
10156,Athletics
39000,Athletics
36297,Athletics
32647,Athletics
38835,Athletics
1523,Athletics
8633,Athletics
38667,Athletics
41030,Athletics
8974,Athletics
30521,Athletics
38832,Athletics
5975,Athletics
16532,Athletics
21103,Athletics
39419,Athletics
33116,Athletics
39571,Athletics
9802,Athletics
21122,Athletics
29375,Athletics
37209,Athletics
14790,Athletics
3197,Athletics
28641,Athletics
42850,Athletics
32463,Athletics
36723,Athletics
34740,Athletics
25318,Athletics
18008,Athletics
34858,Athletics
35838,Athletics
33096,Athletics
22219,Athletics
31253,Athletics
