OBJECTID,AAT_z,Pct_Canopy,Pct_Impervious,Distance_from_water_m,Elevation_m,POINT_X,POINT_Y,NDVI,Albedo,Location
56930,86,0,83.75,77.22,9.24,352147.7,251154.63,0.13351123,0.357026979,0
22675,86,6.21,64.76,20.15,7.31,351983.15,251161.63,0.264167726,0.392723642,0
56769,86,0,70.43,0,7.1,351915.24,251178.41,0.249434248,0.402704813,0
58152,85.54,91.05,14.01,46.11,9.09,352070.17,251231.16,0.325456321,0.389282033,0
52591,85.63,83.65,3.33,16.11,7.26,351971.75,251231.16,0.33148995,0.400550365,0
4128,85.62,12.89,89.87,76.11,9.93,352168.19,251231.57,0.17412746,0.354780182,0
22614,85.99,43.76,41.6,0,6.77,351877.08,251237.06,0.29148674,0.41187454,0
20763,85.71,0,86.65,83.64,10.91,352247.32,251251.9,0.134923473,0.352636911,0
40093,86,3.51,80.44,0,6.33,351781.01,251256.5,0.257280409,0.414347239,0
26278,86,0.01,55.59,0,6.71,351681.89,251267.98,0.275612444,0.414750017,0
48556,86,0,49.15,0,7.47,351598.6,251274.79,0.263504356,0.428150184,0
9206,85.98,55.85,15.87,0,7,351676.47,251329.59,0.337313056,0.414941162,0
25306,85,94.68,7.84,49.8,13.95,352168.6,251329.59,0.311913282,0.386387371,0
58153,86,73.27,0.15,0.69,5.99,351774.9,251329.59,0.337292433,0.410263911,0
55931,85,85,0,49.15,9.45,352070.17,251329.59,0.375536233,0.39684929,0
55275,85.88,100,0,9.82,5.94,351873.32,251329.59,0.366642416,0.41181609,0
11777,85,69.75,0,23.43,7.56,351971.75,251329.59,0.375165313,0.40018335,0
27568,85.96,58.02,38.52,3.13,7,351578.17,251329.72,0.31697306,0.42201709,0
56025,85,47.2,31.52,54.94,12.64,352266.8,251329.81,0.248708785,0.374371298,0
57808,86,37.64,65.99,30.31,7.28,351482.01,251336.79,0.276578009,0.415760688,0
1035,85,39.79,31.62,67.77,13.63,352346.94,251349.17,0.340309948,0.39606832,0
51358,86,2.12,89.78,58.53,8.12,351387.42,251351.59,0.191743121,0.409879945,0
4924,86,0,87.92,87.6,8.97,351313.37,251367.71,0.150541767,0.406424515,0
40340,86,45.82,34.24,70.09,8.53,351381.2,251428.01,0.191939086,0.402707718,0
52436,85,100,0,26.58,16.72,352267.02,251428.01,0.373413622,0.397510864,0
59773,85.32,51.01,0,26.74,7.15,351578.05,251428.01,0.380236983,0.422629602,0
53504,85,47.6,35.47,20.41,8.9,352070.17,251428.01,0.370599359,0.411643423,0
54314,85.55,50.78,4.34,36.15,6.36,351873.32,251428.01,0.374473631,0.409244858,0
59217,85,83.86,12.17,19.8,12.6,352168.6,251428.01,0.355575711,0.395353809,0
52719,85,73.36,24.07,35.73,6.69,351971.75,251428.01,0.378976882,0.404370502,0
49877,86,89.89,0,29.92,6.92,351774.9,251428.01,0.373898685,0.405888818,0
59840,85.47,64.08,0,25.57,7,351676.47,251428.01,0.389226109,0.418096185,0
36304,85.93,77.06,0,45.12,7.98,351479.62,251428.01,0.315380841,0.403835178,0
58485,85,93.3,0,44.41,16.27,352365.36,251428.11,0.394618243,0.418015495,0
58702,86,1.2,91.98,97.22,9.29,351285.9,251431.48,0.165941268,0.407878235,0
7499,85,42.24,46.77,67.97,18.66,352446.64,251446.43,0.388734728,0.43505393,0
987,86,0,38.82,125.02,10.48,351212.34,251456.56,0.220060766,0.39820265,0
44503,85.99,57.81,13.75,104.42,10.11,351282.77,251526.44,0.254391551,0.400424823,0
42154,85,99.93,0,26.81,17.94,352365.45,251526.44,0.433276832,0.421637744,0
54315,85.02,58.61,10.54,39.08,7.65,351578.05,251526.44,0.326167971,0.432024747,0
52499,85.08,26.98,6.42,0,8.6,352070.17,251526.44,0.337348819,0.401708707,0
37244,85.04,59.17,35.32,7.55,8.41,351873.32,251526.44,0.346032798,0.397154652,0
54355,85.53,35.29,58.74,78.52,9.21,351381.2,251526.44,0.231178269,0.412294939,0
44556,85,98.81,29.34,2.01,13.52,352267.02,251526.44,0.378857076,0.396248326,0
24159,85,80.57,34.81,0,9.35,352168.6,251526.44,0.313553303,0.375932939,0
16666,85.11,90.89,13.94,5.73,6.89,351971.75,251526.44,0.358546317,0.393894538,0
49992,85.35,74.4,45.24,18.3,8.05,351774.9,251526.44,0.338856846,0.40689379,0
48763,85,57.17,27.52,28.46,7.87,351676.47,251526.44,0.335999638,0.428897478,0
19238,85.37,48.48,40.63,55.22,8.54,351479.62,251526.44,0.297924072,0.415409729,0
54288,85,97.66,4.78,52.56,17.93,352463.86,251526.45,0.414557129,0.433256254,0
15102,86,16.11,52.98,132.06,11.01,351186.78,251528.89,0.29803732,0.411982313,0
48273,85,42.57,62.3,78.27,18.5,352546.15,251543.68,0.31719321,0.420378,0
53961,86,0,91.11,136.8,12.47,351113.04,251554.13,0.257600069,0.421577133,0
42144,85.04,4.23,11.04,103.63,17.44,352611.77,251575.4,0.322333694,0.407110527,0
53237,85,19.31,63.5,62.98,18.66,352562.3,251624.86,0.307749897,0.410540886,0
28767,85,91.22,6.74,36.84,17.81,352463.87,251624.86,0.382864565,0.417191461,0
59936,85,20.72,79.87,12.94,8.03,351578.05,251624.86,0.279539019,0.420163497,0
58899,85,99.47,26.15,11.37,15.59,352365.45,251624.86,0.382601798,0.399993286,0
49744,85,5.59,0,0,8.11,352070.17,251624.86,0.206135288,0.33521235,0
52696,85.01,53.37,0,0,8.35,351873.32,251624.86,0.250187486,0.340236165,0
49677,85,69.16,4.66,65.82,9.48,351381.2,251624.86,0.332747906,0.428518728,0
18295,85.93,34.55,0,117.52,12.08,351184.35,251624.86,0.373613685,0.433250889,0
59298,85,83.03,36.43,0,10.39,352267.02,251624.86,0.317641377,0.371341929,0
44540,85,24.67,0,0,8,352168.6,251624.86,0.201716274,0.328177102,0
52549,85.11,37.84,0,0,8.13,351971.75,251624.86,0.230797827,0.333094932,0
54535,85,93.27,0,0,8.7,351774.9,251624.86,0.291109532,0.370203592,0
59709,85,61.45,18.74,0.43,8.51,351676.47,251624.86,0.291009426,0.404545963,0
35468,85,53.16,34.55,37.35,8.8,351479.62,251624.86,0.311141342,0.422404595,0
42937,85.26,24.36,0,95.18,10.8,351282.77,251624.86,0.360441625,0.426867604,0
50028,86,61.96,40.85,107.36,12.68,351088.03,251626.99,0.291908443,0.416377746,0
42467,85.15,31.36,21.47,89.93,17.97,352622,251634.23,0.289588869,0.403256565,0
55026,86,1.68,85.31,104.84,13.68,351014.01,251651.59,0.237486318,0.402071439,0
54091,86,73.22,66.37,78.33,13.78,351085.92,251723.29,0.301380277,0.398993045,0
56150,85,27.86,49.09,51.31,18.15,352562.3,251723.29,0.264645785,0.410132334,0
4830,85.4,100,0,91.77,12.48,351184.35,251723.29,0.393817961,0.41992262,0
46503,85,85.29,17.1,2.56,8.65,351578.05,251723.29,0.330072314,0.40050555,0
47305,85,79.13,46.12,0,12.92,352365.45,251723.29,0.316277117,0.377105884,0
39020,85,39.4,0.17,62.56,9.31,351381.2,251723.29,0.39892298,0.439019688,0
59506,85,46.2,39.74,23.08,16.26,352463.87,251723.29,0.323677897,0.411908738,0
49297,85,43.95,0,0,8.2,352267.02,251723.29,0.204044789,0.325453207,0
49149,85,0,0,0,8,351971.75,251723.29,0.050360855,0.269893259,0
45541,85,5.22,0,0,8,351774.9,251723.29,0.15163143,0.298001785,0
