Scenario,Variable,MC_Mean,MC_Std,MC_q05,MC_q50,MC_q95
Pct_Canopy_plus_5,Pct_Canopy,-0.005206719856305286,0.000143137110449828,-0.005454692223401742,-0.005158211573481766,-0.00505631229463002
Pct_Canopy_plus_10,Pct_Canopy,-0.009113906662593877,0.0003620945172593087,-0.009691549392553863,-0.009064245956867127,-0.008695610766752454
Pct_Canopy_plus_15,Pct_Canopy,-0.011990319554082538,0.0005466612020687612,-0.012807919208928062,-0.011949875531588352,-0.011299514408040797
Pct_Canopy_plus_20,Pct_Canopy,-0.014056775285987966,0.0006280648657378296,-0.014980005429788196,-0.014037035826130174,-0.01323496816885956
Pct_Canopy_plus_25,Pct_Canopy,-0.01582756479930673,0.0006626059854840531,-0.01681005029431114,-0.01582092587187424,-0.014957923130261072
Pct_Canopy_plus_30,Pct_Canopy,-0.017431836119899707,0.0006797168630913657,-0.018450659736692635,-0.017436666398430972,-0.016544431205630372
Pct_Canopy_plus_35,Pct_Canopy,-0.018872497368556288,0.0007306911048791971,-0.019955487219602504,-0.018891336627113252,-0.017913548764519716
Pct_Canopy_plus_40,Pct_Canopy,-0.020156475946665812,0.0008145797022045222,-0.021366125811356995,-0.02018809944767391,-0.019079024988871214
Pct_Canopy_plus_45,Pct_Canopy,-0.02126229951112532,0.0009055859437765477,-0.02262570268672082,-0.021310971854424876,-0.020050686811443667
Pct_Canopy_plus_50,Pct_Canopy,-0.022150384324666685,0.000977423749629175,-0.023641566194243444,-0.022214504824550292,-0.020836883196307804
Pct_Impervious_minus_5,Pct_Impervious,-0.01002083562662176,0.0005341814744690801,-0.010861230733060563,-0.009974295771663564,-0.009428025746148993
Pct_Impervious_minus_10,Pct_Impervious,-0.015933289304102562,0.0010806722246882606,-0.017717512300192355,-0.01576578582726707,-0.01483571878862723
Pct_Impervious_minus_15,Pct_Impervious,-0.02086214512388296,0.0016263632192837763,-0.023561587453088572,-0.020644928353691916,-0.019187839161327058
Pct_Impervious_minus_20,Pct_Impervious,-0.0253433011032446,0.0021970823446554838,-0.028987758265964007,-0.025089197855940083,-0.02304662935022664
Pct_Impervious_minus_25,Pct_Impervious,-0.029175929308669905,0.002809324290374885,-0.03384936190805862,-0.028868654145501507,-0.02623623997579769
Pct_Impervious_minus_30,Pct_Impervious,-0.03299848979537486,0.0034278496467687204,-0.03871516581958253,-0.032632275158116925,-0.029401495669641252
Pct_Impervious_minus_35,Pct_Impervious,-0.036514276985895704,0.004049296918392781,-0.04329042153234422,-0.036077877931716414,-0.03227805519193977
Pct_Impervious_minus_40,Pct_Impervious,-0.04001783767712393,0.004664432956578631,-0.04784567074515892,-0.03950284213548885,-0.03515271165015615
Pct_Impervious_minus_45,Pct_Impervious,-0.04346692826230664,0.005274387762510198,-0.05235011043173201,-0.04285272734558622,-0.038017481220568375
Pct_Impervious_minus_50,Pct_Impervious,-0.04682854044677559,0.005887301590811127,-0.05679094445953975,-0.04608081314665477,-0.04083810469011123
Albedo_plus_0p05,Albedo,-0.06811422487814121,0.0011234123640739629,-0.06995747143917189,-0.06807949473353167,-0.06662272792522224
Albedo_plus_0p1,Albedo,-0.09661425214024807,0.004462473500584949,-0.10395799829595322,-0.09538353047435552,-0.09114724806817733
Albedo_plus_0p15,Albedo,-0.11228357028597605,0.00665868567327711,-0.12339432072720068,-0.10953177724652682,-0.10482403247510133
Albedo_plus_0p2,Albedo,-0.12075893329353807,0.007915952740013325,-0.1348641844534225,-0.11806323713517913,-0.11296523160473872
Albedo_plus_0p25,Albedo,-0.1284723905666494,0.009400011993462614,-0.14567497848371824,-0.12546609548325516,-0.11905485561661915
Albedo_plus_0p3,Albedo,-0.13741797377913204,0.011215372246118918,-0.15804361789344787,-0.13380986306877884,-0.12618848926089551
Albedo_plus_0p35,Albedo,-0.14023244153561487,0.011802535723746604,-0.1619443396263203,-0.1364440773253519,-0.1284261396939777
Albedo_plus_0p4,Albedo,-0.14033127176098334,0.011826431939711647,-0.16208984740475968,-0.13653373067862104,-0.12850409462435358
