grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.026249233260155838
1,3.75,-88.75,88.75,1.0,0,0.025876960203302463
2,6.25,-88.75,88.75,1.0,0,0.02555959501327825
3,8.75,-88.75,88.75,1.0,0,0.025151819074273735
4,11.25,-88.75,88.75,1.0,0,0.024713287350141628
5,13.75,-88.75,88.75,1.0,0,0.024451146353947267
6,16.25,-88.75,88.75,1.0,0,0.023822997355290927
7,18.75,-88.75,88.75,1.0,0,0.02329838710252692
8,21.25,-88.75,88.75,1.0,0,0.022786672583903878
9,23.75,-88.75,88.75,1.0,0,0.02227249958979561
10,26.25,-88.75,88.75,1.0,0,0.02182752767746393
11,28.75,-88.75,88.75,1.0,0,0.021458570133826096
12,31.25,-88.75,88.75,1.0,0,0.020987424549200072
13,33.75,-88.75,88.75,1.0,0,0.020569367019326355
14,36.25,-88.75,88.75,1.0,0,0.02012483330852157
15,38.75,-88.75,88.75,1.0,0,0.019912101745274673
16,41.25,-88.75,88.75,1.0,0,0.019706727769377465
17,43.75,-88.75,88.75,1.0,0,0.01956302474644998
18,46.25,-88.75,88.75,1.0,0,0.019359101658669567
19,48.75,-88.75,88.75,1.0,0,0.019100378192565368
20,51.25,-88.75,88.75,1.0,0,0.018897789204025354
21,53.75,-88.75,88.75,1.0,0,0.018642163638931397
22,56.25,-88.75,88.75,1.0,0,0.018504490270822252
23,58.75,-88.75,88.75,1.0,0,0.018393947335079434
24,61.25,-88.75,88.75,1.0,0,0.018322494270544335
25,63.75,-88.75,88.75,1.0,0,0.01816395379742504
26,66.25,-88.75,88.75,1.0,0,0.01804172428356847
27,68.75,-88.75,88.75,1.0,0,0.017988616329685816
28,71.25,-88.75,88.75,1.0,0,0.01791273918884297
29,73.75,-88.75,88.75,1.0,0,0.01779535525254441
30,76.25,-88.75,88.75,1.0,0,0.017900823288392775
31,78.75,-88.75,88.75,1.0,0,0.01789998839327533
32,81.25,-88.75,88.75,1.0,0,0.018033779666699796
33,83.75,-88.75,88.75,1.0,0,0.018062334526484456
34,86.25,-88.75,88.75,1.0,0,0.018027329364413418
35,88.75,-88.75,88.75,1.0,0,0.01803372079130085
36,91.25,-88.75,88.75,1.0,0,0.018021688420378913
37,93.75,-88.75,88.75,1.0,0,0.017984005350425093
38,96.25,-88.75,88.75,1.0,0,0.017967205388133168
39,98.75,-88.75,88.75,1.0,0,0.017879859544361415
40,101.25,-88.75,88.75,1.0,0,0.017961863375892152
41,103.75,-88.75,88.75,1.0,0,0.017769046796189885
42,106.25,-88.75,88.75,1.0,0,0.01778905655912687
43,108.75,-88.75,88.75,1.0,0,0.017761821259725603
44,111.25,-88.75,88.75,1.0,0,0.017709431687620656
45,113.75,-88.75,88.75,1.0,0,0.01767825115904811
46,116.25,-88.75,88.75,1.0,0,0.01770007497717238
47,118.75,-88.75,88.75,1.0,0,0.01774816818684211
48,121.25,-88.75,88.75,1.0,0,0.01773633121243712
49,123.75,-88.75,88.75,1.0,0,0.01807066458138948
50,126.25,-88.75,88.75,1.0,0,0.01839500981225903
51,128.75,-88.75,88.75,1.0,0,0.018718614992581695
52,131.25,-88.75,88.75,1.0,0,0.019132772196026913
53,133.75,-88.75,88.75,1.0,0,0.01952161977386373
54,136.25,-88.75,88.75,1.0,0,0.019981743824922592
55,138.75,-88.75,88.75,1.0,0,0.020497183215107406
56,141.25,-88.75,88.75,1.0,0,0.020977658222831767
57,143.75,-88.75,88.75,1.0,0,0.021618652852756885
58,146.25,-88.75,88.75,1.0,0,0.022338785914477088
59,148.75,-88.75,88.75,1.0,0,0.023180305176700687
60,151.25,-88.75,88.75,1.0,0,0.023985934417414263
61,153.75,-88.75,88.75,1.0,0,0.02482044334197027
62,156.25,-88.75,88.75,1.0,0,0.025801499128567284
63,158.75,-88.75,88.75,1.0,0,0.02678998956712197
64,161.25,-88.75,88.75,1.0,0,0.027684493813600972
65,163.75,-88.75,88.75,1.0,0,0.02852699110809405
66,166.25,-88.75,88.75,1.0,0,0.029349758517134627
67,168.75,-88.75,88.75,1.0,0,0.03039829941665434
68,171.25,-88.75,88.75,1.0,0,0.03128896417860606
69,173.75,-88.75,88.75,1.0,0,0.032021787172328495
70,176.25,-88.75,88.75,1.0,0,0.03275490708181244
71,178.75,-88.75,88.75,1.0,0,0.03354024932174285
72,181.25,-88.75,88.75,1.0,0,0.034282289123907295
73,183.75,-88.75,88.75,1.0,0,0.03496054065577399
74,186.25,-88.75,88.75,1.0,0,0.03568580119092611
75,188.75,-88.75,88.75,1.0,0,0.03651408861222277
76,191.25,-88.75,88.75,1.0,0,0.037103297446182675
77,193.75,-88.75,88.75,1.0,0,0.038118871064632076
78,196.25,-88.75,88.75,1.0,0,0.038893604980806844
79,198.75,-88.75,88.75,1.0,0,0.039602771460089836
80,201.25,-88.75,88.75,1.0,0,0.04030852932019846
81,203.75,-88.75,88.75,1.0,0,0.04107616923519995
82,206.25,-88.75,88.75,1.0,0,0.041901293234739775
83,208.75,-88.75,88.75,1.0,0,0.042719150387355895
84,211.25,-88.75,88.75,1.0,0,0.04350899250852444
85,213.75,-88.75,88.75,1.0,0,0.04451450051053641
86,216.25,-88.75,88.75,1.0,0,0.04515852203551826
87,218.75,-88.75,88.75,1.0,0,0.04618390586269809
88,221.25,-88.75,88.75,1.0,0,0.0469993884682976
89,223.75,-88.75,88.75,1.0,0,0.04769535057924649
90,226.25,-88.75,88.75,1.0,0,0.04830534453513208
91,228.75,-88.75,88.75,1.0,0,0.04897866141119111
92,231.25,-88.75,88.75,1.0,0,0.049805657240877606
93,233.75,-88.75,88.75,1.0,0,0.050364394207113014
94,236.25,-88.75,88.75,1.0,0,0.05050791629827864
95,238.75,-88.75,88.75,1.0,0,0.050660549978192436
96,241.25,-88.75,88.75,1.0,0,0.05082676700453152
97,243.75,-88.75,88.75,1.0,0,0.050789692923410776
98,246.25,-88.75,88.75,1.0,0,0.050669403976270816
99,248.75,-88.75,88.75,1.0,0,0.05036836921241946
100,251.25,-88.75,88.75,1.0,0,0.04987206215779747
101,253.75,-88.75,88.75,1.0,0,0.04929839420121622
102,256.25,-88.75,88.75,1.0,0,0.04863310766673557
103,258.75,-88.75,88.75,1.0,0,0.04784043303597932
104,261.25,-88.75,88.75,1.0,0,0.0466741138339243
105,263.75,-88.75,88.75,1.0,0,0.04574471504163356
106,266.25,-88.75,88.75,1.0,0,0.04469621157059873
107,268.75,-88.75,88.75,1.0,0,0.04362219124997642
108,271.25,-88.75,88.75,1.0,0,0.04266725659456871
109,273.75,-88.75,88.75,1.0,0,0.04175469761568285
110,276.25,-88.75,88.75,1.0,0,0.040696579549948084
111,278.75,-88.75,88.75,1.0,0,0.03957705918691693
112,281.25,-88.75,88.75,1.0,0,0.038410631120731
113,283.75,-88.75,88.75,1.0,0,0.03747480971542441
114,286.25,-88.75,88.75,1.0,0,0.03680733991092174
115,288.75,-88.75,88.75,1.0,0,0.035938000088027916
116,291.25,-88.75,88.75,1.0,0,0.03508915792927559
117,293.75,-88.75,88.75,1.0,0,0.03434588605674049
118,296.25,-88.75,88.75,1.0,0,0.033613950721534766
119,298.75,-88.75,88.75,1.0,0,0.032890608876569034
120,301.25,-88.75,88.75,1.0,0,0.03251527674276389
121,303.75,-88.75,88.75,1.0,0,0.031957544037893984
122,306.25,-88.75,88.75,1.0,0,0.03148336825089679
123,308.75,-88.75,88.75,1.0,0,0.03097230506377981
124,311.25,-88.75,88.75,1.0,0,0.03060044316902175
125,313.75,-88.75,88.75,1.0,0,0.03030775572288246
126,316.25,-88.75,88.75,1.0,0,0.030019544506756726
127,318.75,-88.75,88.75,1.0,0,0.02969989206068294
128,321.25,-88.75,88.75,1.0,0,0.02934499766646132
129,323.75,-88.75,88.75,1.0,0,0.028971867287224805
130,326.25,-88.75,88.75,1.0,0,0.02886104642588214
131,328.75,-88.75,88.75,1.0,0,0.02866743123028067
132,331.25,-88.75,88.75,1.0,0,0.028588599086233294
133,333.75,-88.75,88.75,1.0,0,0.02847990382449758
134,336.25,-88.75,88.75,1.0,0,0.028353422316157253
135,338.75,-88.75,88.75,1.0,0,0.02826065833390815
136,341.25,-88.75,88.75,1.0,0,0.028182550240500304
137,343.75,-88.75,88.75,1.0,0,0.028087224398242096
138,346.25,-88.75,88.75,1.0,0,0.028069459788071554
139,348.75,-88.75,88.75,1.0,0,0.027911190842014585
140,351.25,-88.75,88.75,1.0,0,0.02764782537990733
141,353.75,-88.75,88.75,1.0,0,0.027369444285612065
142,356.25,-88.75,88.75,1.0,0,0.026927797742085154
143,358.75,-88.75,88.75,1.0,0,0.02658749184083166
144,1.25,-86.25,86.25,1.0,0,0.019727476748823816
145,3.75,-86.25,86.25,1.0,0,0.01930711827900802
146,6.25,-86.25,86.25,1.0,0,0.01885462479671995
147,8.75,-86.25,86.25,1.0,0,0.018359619464888767
148,11.25,-86.25,86.25,1.0,0,0.017841619287913463
149,13.75,-86.25,86.25,1.0,0,0.017544506308555977
150,16.25,-86.25,86.25,1.0,0,0.017110776671471838
151,18.75,-86.25,86.25,1.0,0,0.01671478639980588
152,21.25,-86.25,86.25,1.0,0,0.016344263182287558
153,23.75,-86.25,86.25,1.0,0,0.015971996984467447
154,26.25,-86.25,86.25,1.0,0,0.01558948872546485
155,28.75,-86.25,86.25,1.0,0,0.015203617111202303
156,31.25,-86.25,86.25,1.0,0,0.014831758580161574
157,33.75,-86.25,86.25,1.0,0,0.014624236770029808
158,36.25,-86.25,86.25,1.0,0,0.014506846699586708
159,38.75,-86.25,86.25,1.0,0,0.01466446487884395
160,41.25,-86.25,86.25,1.0,0,0.014926160182732318
161,43.75,-86.25,86.25,1.0,0,0.015279129758736566
162,46.25,-86.25,86.25,1.0,0,0.015659187634099733
163,48.75,-86.25,86.25,1.0,0,0.016011249861510823
164,51.25,-86.25,86.25,1.0,0,0.016330231792195365
165,53.75,-86.25,86.25,1.0,0,0.0166468234226662
166,56.25,-86.25,86.25,1.0,0,0.017040890411095043
167,58.75,-86.25,86.25,1.0,0,0.017345791541520186
168,61.25,-86.25,86.25,1.0,0,0.017484856384517106
169,63.75,-86.25,86.25,1.0,0,0.01744631827360567
170,66.25,-86.25,86.25,1.0,0,0.017303548017381532
171,68.75,-86.25,86.25,1.0,0,0.01710835070517821
172,71.25,-86.25,86.25,1.0,0,0.016897928175866894
173,73.75,-86.25,86.25,1.0,0,0.016757688708658982
174,76.25,-86.25,86.25,1.0,0,0.01684429696050899
175,78.75,-86.25,86.25,1.0,0,0.01693734001890444
176,81.25,-86.25,86.25,1.0,0,0.01726341242278762
177,83.75,-86.25,86.25,1.0,0,0.017513770072801412
178,86.25,-86.25,86.25,1.0,0,0.017725910787811973
179,88.75,-86.25,86.25,1.0,0,0.0178897552998366
180,91.25,-86.25,86.25,1.0,0,0.01794714017269155
181,93.75,-86.25,86.25,1.0,0,0.017896841041931927
182,96.25,-86.25,86.25,1.0,0,0.01776065075653699
183,98.75,-86.25,86.25,1.0,0,0.01746355289491407
184,101.25,-86.25,86.25,1.0,0,0.017180073652998312
185,103.75,-86.25,86.25,1.0,0,0.016798877901706387
186,106.25,-86.25,86.25,1.0,0,0.016534085318039096
187,108.75,-86.25,86.25,1.0,0,0.016235914699309042
188,111.25,-86.25,86.25,1.0,0,0.01599264901469565
189,113.75,-86.25,86.25,1.0,0,0.015762691383174203
190,116.25,-86.25,86.25,1.0,0,0.015558497330121388
191,118.75,-86.25,86.25,1.0,0,0.015438937707312346
