grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.008415815694265711
1,3.75,-88.75,88.75,1.0,0,0.008418249730634143
2,6.25,-88.75,88.75,1.0,0,0.008420709219335106
3,8.75,-88.75,88.75,1.0,0,0.008423194396858671
4,11.25,-88.75,88.75,1.0,0,0.008408678705560703
5,13.75,-88.75,88.75,1.0,0,0.008331087463380975
6,16.25,-88.75,88.75,1.0,0,0.008258727631107096
7,18.75,-88.75,88.75,1.0,0,0.008180941076087314
8,21.25,-88.75,88.75,1.0,0,0.008103392237991582
9,23.75,-88.75,88.75,1.0,0,0.008036081974097074
10,26.25,-88.75,88.75,1.0,0,0.008013578649031275
11,28.75,-88.75,88.75,1.0,0,0.007993608783169555
12,31.25,-88.75,88.75,1.0,0,0.007973019299412033
13,33.75,-88.75,88.75,1.0,0,0.007951793674027766
14,36.25,-88.75,88.75,1.0,0,0.00786928156841489
15,38.75,-88.75,88.75,1.0,0,0.007816617657654863
16,41.25,-88.75,88.75,1.0,0,0.007770627689974075
17,43.75,-88.75,88.75,1.0,0,0.007726021943828958
18,46.25,-88.75,88.75,1.0,0,0.007676843189850593
19,48.75,-88.75,88.75,1.0,0,0.007543229721954868
20,51.25,-88.75,88.75,1.0,0,0.0073904862857876496
21,53.75,-88.75,88.75,1.0,0,0.007197076397201399
22,56.25,-88.75,88.75,1.0,0,0.006811627122287958
23,58.75,-88.75,88.75,1.0,0,0.006387598018869395
24,61.25,-88.75,88.75,1.0,0,0.006286709559785438
25,63.75,-88.75,88.75,1.0,0,0.006273115347421694
26,66.25,-88.75,88.75,1.0,0,0.00625966076856976
27,68.75,-88.75,88.75,1.0,0,0.006246346201949851
28,71.25,-88.75,88.75,1.0,0,0.006233171957247996
29,73.75,-88.75,88.75,1.0,0,0.006220137844096946
30,76.25,-88.75,88.75,1.0,0,0.006207243667368294
31,78.75,-88.75,88.75,1.0,0,0.006194489330058392
32,81.25,-88.75,88.75,1.0,0,0.00571210149241202
33,83.75,-88.75,88.75,1.0,0,0.00573033905241367
34,86.25,-88.75,88.75,1.0,0,0.0057487764185994855
35,88.75,-88.75,88.75,1.0,0,0.005767414321203
