grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.00785303558664043
1,3.75,-88.75,88.75,1.0,0,0.007776889713113863
2,6.25,-88.75,88.75,1.0,0,0.00768136166207418
3,8.75,-88.75,88.75,1.0,0,0.007548085032833112
4,11.25,-88.75,88.75,1.0,0,0.007579651441488528
5,13.75,-88.75,88.75,1.0,0,0.00754359045720631
6,16.25,-88.75,88.75,1.0,0,0.007508749040792431
7,18.75,-88.75,88.75,1.0,0,0.007698970791815944
8,21.25,-88.75,88.75,1.0,0,0.007798884009143529
9,23.75,-88.75,88.75,1.0,0,0.0077378697844272
10,26.25,-88.75,88.75,1.0,0,0.007698856857002235
11,28.75,-88.75,88.75,1.0,0,0.007698999706921557
12,31.25,-88.75,88.75,1.0,0,0.007682943174225544
13,33.75,-88.75,88.75,1.0,0,0.007574874290252592
14,36.25,-88.75,88.75,1.0,0,0.007417878317969612
15,38.75,-88.75,88.75,1.0,0,0.00732410821508328
16,41.25,-88.75,88.75,1.0,0,0.007288889681203617
17,43.75,-88.75,88.75,1.0,0,0.007221155540074305
18,46.25,-88.75,88.75,1.0,0,0.0071655630438056065
19,48.75,-88.75,88.75,1.0,0,0.0070818768867296385
20,51.25,-88.75,88.75,1.0,0,0.007001960244759719
21,53.75,-88.75,88.75,1.0,0,0.006975934455176784
22,56.25,-88.75,88.75,1.0,0,0.006898377055940244
23,58.75,-88.75,88.75,1.0,0,0.0069500020610862865
24,61.25,-88.75,88.75,1.0,0,0.0071457390059053
25,63.75,-88.75,88.75,1.0,0,0.0072614919665851116
26,66.25,-88.75,88.75,1.0,0,0.007213496535847548
27,68.75,-88.75,88.75,1.0,0,0.007198832931160851
28,71.25,-88.75,88.75,1.0,0,0.0072573780201944625
29,73.75,-88.75,88.75,1.0,0,0.007295938098329525
30,76.25,-88.75,88.75,1.0,0,0.007225823494102425
31,78.75,-88.75,88.75,1.0,0,0.00732423731971408
32,81.25,-88.75,88.75,1.0,0,0.007590402881919305
33,83.75,-88.75,88.75,1.0,0,0.00758407556553094
34,86.25,-88.75,88.75,1.0,0,0.007535756098795506
35,88.75,-88.75,88.75,1.0,0,0.007621847069942508
36,91.25,-88.75,88.75,1.0,0,0.007718983891520508
37,93.75,-88.75,88.75,1.0,0,0.007614984305860502
38,96.25,-88.75,88.75,1.0,0,0.0073468454474862385
39,98.75,-88.75,88.75,1.0,0,0.007579334909396836
40,101.25,-88.75,88.75,1.0,0,0.008034727014195404
41,103.75,-88.75,88.75,1.0,0,0.008207170666516894
42,106.25,-88.75,88.75,1.0,0,0.008275431213954127
43,108.75,-88.75,88.75,1.0,0,0.008306589916786974
44,111.25,-88.75,88.75,1.0,0,0.008405353235520385
45,113.75,-88.75,88.75,1.0,0,0.008484912138603421
46,116.25,-88.75,88.75,1.0,0,0.008519324090408726
47,118.75,-88.75,88.75,1.0,0,0.008594452819342914
48,121.25,-88.75,88.75,1.0,0,0.0086081682874245
49,123.75,-88.75,88.75,1.0,0,0.008551931637530196
50,126.25,-88.75,88.75,1.0,0,0.008492820410714858
51,128.75,-88.75,88.75,1.0,0,0.008594754303129917
52,131.25,-88.75,88.75,1.0,0,0.008869462887605787
53,133.75,-88.75,88.75,1.0,0,0.009107647528888712
54,136.25,-88.75,88.75,1.0,0,0.009193036828996987
55,138.75,-88.75,88.75,1.0,0,0.009032341539482337
56,141.25,-88.75,88.75,1.0,0,0.008673285029104964
57,143.75,-88.75,88.75,1.0,0,0.00839153450291542
58,146.25,-88.75,88.75,1.0,0,0.008139749611801547
59,148.75,-88.75,88.75,1.0,0,0.007994623439942661
60,151.25,-88.75,88.75,1.0,0,0.007861915063432352
61,153.75,-88.75,88.75,1.0,0,0.007389131971030465
62,156.25,-88.75,88.75,1.0,0,0.006872684252219587
63,158.75,-88.75,88.75,1.0,0,0.006880707846085433
64,161.25,-88.75,88.75,1.0,0,0.006766355097755489
65,163.75,-88.75,88.75,1.0,0,0.00677829863548535
66,166.25,-88.75,88.75,1.0,0,0.007696857481787029
67,168.75,-88.75,88.75,1.0,0,0.007862869756625993
68,171.25,-88.75,88.75,1.0,0,0.007457197089453261
69,173.75,-88.75,88.75,1.0,0,0.008038423937183103
70,176.25,-88.75,88.75,1.0,0,0.007837996179713303
71,178.75,-88.75,88.75,1.0,0,0.00748719236305809
72,181.25,-88.75,88.75,1.0,0,0.009249724702651846
73,183.75,-88.75,88.75,1.0,0,0.01254313908513092
74,186.25,-88.75,88.75,1.0,0,0.013299549817670122
75,188.75,-88.75,88.75,1.0,0,0.012614429807486907
76,191.25,-88.75,88.75,1.0,0,0.01219654484890921
77,193.75,-88.75,88.75,1.0,0,0.01156495845638761
78,196.25,-88.75,88.75,1.0,0,0.012792775294039174
79,198.75,-88.75,88.75,1.0,0,0.017103621634069293
80,201.25,-88.75,88.75,1.0,0,0.02176828475231464
81,203.75,-88.75,88.75,1.0,0,0.025260351424902378
82,206.25,-88.75,88.75,1.0,0,0.026010752432951128
83,208.75,-88.75,88.75,1.0,0,0.021228108197936833
