grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-172.14441373759232
1,3.75,-88.75,88.75,1.0,0,-172.10178792673247
2,6.25,-88.75,88.75,1.0,0,-172.05780736716315
3,8.75,-88.75,88.75,1.0,0,-172.0137507316459
4,11.25,-88.75,88.75,1.0,0,-171.96197305888472
5,13.75,-88.75,88.75,1.0,0,-171.9085271925945
6,16.25,-88.75,88.75,1.0,0,-171.85285157850822
7,18.75,-88.75,88.75,1.0,0,-171.78960483523468
8,21.25,-88.75,88.75,1.0,0,-171.71908934284596
9,23.75,-88.75,88.75,1.0,0,-171.6556112356869
10,26.25,-88.75,88.75,1.0,0,-171.57583882458698
11,28.75,-88.75,88.75,1.0,0,-171.497792350785
12,31.25,-88.75,88.75,1.0,0,-171.4240858309898
13,33.75,-88.75,88.75,1.0,0,-171.34347978174148
14,36.25,-88.75,88.75,1.0,0,-171.2582514665877
15,38.75,-88.75,88.75,1.0,0,-171.18097930163347
16,41.25,-88.75,88.75,1.0,0,-171.09831564347488
17,43.75,-88.75,88.75,1.0,0,-171.02083842825286
18,46.25,-88.75,88.75,1.0,0,-170.95429078957852
19,48.75,-88.75,88.75,1.0,0,-170.88264980053523
20,51.25,-88.75,88.75,1.0,0,-170.82106709749644
21,53.75,-88.75,88.75,1.0,0,-170.77033653714392
22,56.25,-88.75,88.75,1.0,0,-170.72333138253393
23,58.75,-88.75,88.75,1.0,0,-170.6845183596747
24,61.25,-88.75,88.75,1.0,0,-170.65581873228044
25,63.75,-88.75,88.75,1.0,0,-170.62851712959247
26,66.25,-88.75,88.75,1.0,0,-170.60987984831044
27,68.75,-88.75,88.75,1.0,0,-170.59340612294292
28,71.25,-88.75,88.75,1.0,0,-170.57562484528052
29,73.75,-88.75,88.75,1.0,0,-170.55518781595018
30,76.25,-88.75,88.75,1.0,0,-170.53076011636446
31,78.75,-88.75,88.75,1.0,0,-170.49545458618692
32,81.25,-88.75,88.75,1.0,0,-170.4412622342665
33,83.75,-88.75,88.75,1.0,0,-170.3739909132225
