grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-230.13288484871273
1,3.75,-88.75,88.75,1.0,0,-230.07317652116936
2,6.25,-88.75,88.75,1.0,0,-230.0126660059395
3,8.75,-88.75,88.75,1.0,0,-229.95190227245672
4,11.25,-88.75,88.75,1.0,0,-229.87879725918532
5,13.75,-88.75,88.75,1.0,0,-229.7525262332746
6,16.25,-88.75,88.75,1.0,0,-229.61635639598643
7,18.75,-88.75,88.75,1.0,0,-229.48708821370687
8,21.25,-88.75,88.75,1.0,0,-229.36526095184257
9,23.75,-88.75,88.75,1.0,0,-229.25313050801196
10,26.25,-88.75,88.75,1.0,0,-229.1659523706557
11,28.75,-88.75,88.75,1.0,0,-229.08215526076754
12,31.25,-88.75,88.75,1.0,0,-229.00092636862007
13,33.75,-88.75,88.75,1.0,0,-228.921994362079
14,36.25,-88.75,88.75,1.0,0,-228.82152202463172
15,38.75,-88.75,88.75,1.0,0,-228.75466027920794
16,41.25,-88.75,88.75,1.0,0,-228.70199302314728
17,43.75,-88.75,88.75,1.0,0,-228.6592897078504
18,46.25,-88.75,88.75,1.0,0,-228.62698450235814
19,48.75,-88.75,88.75,1.0,0,-228.61481443350226
20,51.25,-88.75,88.75,1.0,0,-228.62046031925243
21,53.75,-88.75,88.75,1.0,0,-228.6424801016744
22,56.25,-88.75,88.75,1.0,0,-228.68724917027654
23,58.75,-88.75,88.75,1.0,0,-228.7591672784064
24,61.25,-88.75,88.75,1.0,0,-228.7799506638001
25,63.75,-88.75,88.75,1.0,0,-228.78446161267465
26,66.25,-88.75,88.75,1.0,0,-228.7901553244589
27,68.75,-88.75,88.75,1.0,0,-228.7965947954787
28,71.25,-88.75,88.75,1.0,0,-228.80416313555634
29,73.75,-88.75,88.75,1.0,0,-228.812863318142
30,76.25,-88.75,88.75,1.0,0,-228.82212684484244
31,78.75,-88.75,88.75,1.0,0,-228.83245129449432
32,81.25,-88.75,88.75,1.0,0,-228.91598556718623
33,83.75,-88.75,88.75,1.0,0,-228.88425154694878
34,86.25,-88.75,88.75,1.0,0,-228.8518023573284
35,88.75,-88.75,88.75,1.0,0,-228.81865235061798
36,91.25,-88.75,88.75,1.0,0,-228.784729823584
37,93.75,-88.75,88.75,1.0,0,-228.74998708454063
38,96.25,-88.75,88.75,1.0,0,-228.7146807237401
39,98.75,-88.75,88.75,1.0,0,-228.678375340673
40,101.25,-88.75,88.75,1.0,0,-228.6473897710055
41,103.75,-88.75,88.75,1.0,0,-228.62029385061922
42,106.25,-88.75,88.75,1.0,0,-228.5611789241497
43,108.75,-88.75,88.75,1.0,0,-228.50250508089556
44,111.25,-88.75,88.75,1.0,0,-228.4346492032801
45,113.75,-88.75,88.75,1.0,0,-228.35342191876939
