grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-100.81070690712107
1,3.75,-88.75,88.75,1.0,0,-100.66753118709144
2,6.25,-88.75,88.75,1.0,0,-100.50254714839181
3,8.75,-88.75,88.75,1.0,0,-100.33053274539338
4,11.25,-88.75,88.75,1.0,0,-100.14721080047751
5,13.75,-88.75,88.75,1.0,0,-99.95023129924091
6,16.25,-88.75,88.75,1.0,0,-99.73652828755968
7,18.75,-88.75,88.75,1.0,0,-99.50091847907751
8,21.25,-88.75,88.75,1.0,0,-99.26343228391157
9,23.75,-88.75,88.75,1.0,0,-99.01901485766797
10,26.25,-88.75,88.75,1.0,0,-98.7657263040588
11,28.75,-88.75,88.75,1.0,0,-98.49033939871407
12,31.25,-88.75,88.75,1.0,0,-98.21849339220192
13,33.75,-88.75,88.75,1.0,0,-97.95535315459792
14,36.25,-88.75,88.75,1.0,0,-97.69776757054251
15,38.75,-88.75,88.75,1.0,0,-97.4316985535333
16,41.25,-88.75,88.75,1.0,0,-97.168283189754
17,43.75,-88.75,88.75,1.0,0,-96.9323230734592
18,46.25,-88.75,88.75,1.0,0,-96.70981579926963
19,48.75,-88.75,88.75,1.0,0,-96.50558461559247
20,51.25,-88.75,88.75,1.0,0,-96.31401845034658
21,53.75,-88.75,88.75,1.0,0,-96.15200975313766
22,56.25,-88.75,88.75,1.0,0,-96.01867853074482
23,58.75,-88.75,88.75,1.0,0,-95.90993863023672
24,61.25,-88.75,88.75,1.0,0,-95.82024397248009
25,63.75,-88.75,88.75,1.0,0,-95.74933611184103
26,66.25,-88.75,88.75,1.0,0,-95.70130687525575
27,68.75,-88.75,88.75,1.0,0,-95.66897681452319
28,71.25,-88.75,88.75,1.0,0,-95.64804729996659
29,73.75,-88.75,88.75,1.0,0,-95.63640460804555
30,76.25,-88.75,88.75,1.0,0,-95.6232562954121
31,78.75,-88.75,88.75,1.0,0,-95.60458513630924
32,81.25,-88.75,88.75,1.0,0,-95.57797732474208
33,83.75,-88.75,88.75,1.0,0,-95.53940705564813
34,86.25,-88.75,88.75,1.0,0,-95.47935682505303
35,88.75,-88.75,88.75,1.0,0,-95.39394022167988
36,91.25,-88.75,88.75,1.0,0,-95.28241918455103
37,93.75,-88.75,88.75,1.0,0,-95.14120182500598
38,96.25,-88.75,88.75,1.0,0,-94.95857807643516
39,98.75,-88.75,88.75,1.0,0,-94.75138262265116
40,101.25,-88.75,88.75,1.0,0,-94.51561676351173
41,103.75,-88.75,88.75,1.0,0,-94.24637212494528
42,106.25,-88.75,88.75,1.0,0,-93.94540381506624
43,108.75,-88.75,88.75,1.0,0,-93.60895790536142
44,111.25,-88.75,88.75,1.0,0,-93.26663349447017
45,113.75,-88.75,88.75,1.0,0,-92.90837300924673
46,116.25,-88.75,88.75,1.0,0,-92.54472773378285
47,118.75,-88.75,88.75,1.0,0,-92.15699857563537
48,121.25,-88.75,88.75,1.0,0,-91.78274868275287
49,123.75,-88.75,88.75,1.0,0,-91.4210546045937
