grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-74.06154765386204
1,3.75,-88.75,88.75,1.0,0,-75.39134771908071
2,6.25,-88.75,88.75,1.0,0,-76.77440880400258
3,8.75,-88.75,88.75,1.0,0,-77.6599578003949
4,11.25,-88.75,88.75,1.0,0,-78.51359005898816
5,13.75,-88.75,88.75,1.0,0,-78.96569159863463
6,16.25,-88.75,88.75,1.0,0,-79.53512343462258
7,18.75,-88.75,88.75,1.0,0,-79.9164944086577
8,21.25,-88.75,88.75,1.0,0,-80.23390414787559
9,23.75,-88.75,88.75,1.0,0,-80.22403993928418
10,26.25,-88.75,88.75,1.0,0,-78.83655813410267
11,28.75,-88.75,88.75,1.0,0,-78.74084009867939
12,31.25,-88.75,88.75,1.0,0,-78.92794134479219
13,33.75,-88.75,88.75,1.0,0,-77.904700114514
14,36.25,-88.75,88.75,1.0,0,-77.45364451186808
15,38.75,-88.75,88.75,1.0,0,-76.92855998929285
16,41.25,-88.75,88.75,1.0,0,-75.94463003640493
17,43.75,-88.75,88.75,1.0,0,-75.8177938484135
18,46.25,-88.75,88.75,1.0,0,-74.06475212688453
19,48.75,-88.75,88.75,1.0,0,-73.47678058790451
20,51.25,-88.75,88.75,1.0,0,-72.38104234376637
21,53.75,-88.75,88.75,1.0,0,-70.47826104448922
22,56.25,-88.75,88.75,1.0,0,-70.29243811512065
23,58.75,-88.75,88.75,1.0,0,-69.22891575435669
24,61.25,-88.75,88.75,1.0,0,-68.74273861770735
25,63.75,-88.75,88.75,1.0,0,-68.41908833751886
26,66.25,-88.75,88.75,1.0,0,-68.21907577089476
27,68.75,-88.75,88.75,1.0,0,-68.17648502779238
28,71.25,-88.75,88.75,1.0,0,-67.94108572487977
29,73.75,-88.75,88.75,1.0,0,-67.93795556049157
30,76.25,-88.75,88.75,1.0,0,-67.64887795198904
31,78.75,-88.75,88.75,1.0,0,-67.36606966761906
32,81.25,-88.75,88.75,1.0,0,-67.31245964251879
33,83.75,-88.75,88.75,1.0,0,-67.10827547117117
34,86.25,-88.75,88.75,1.0,0,-67.00773182368485
35,88.75,-88.75,88.75,1.0,0,-66.99693389269865
36,91.25,-88.75,88.75,1.0,0,-66.6293868167136
37,93.75,-88.75,88.75,1.0,0,-65.94639101424391
38,96.25,-88.75,88.75,1.0,0,-65.41467860197035
39,98.75,-88.75,88.75,1.0,0,-64.79676158415376
40,101.25,-88.75,88.75,1.0,0,-63.85708266854842
41,103.75,-88.75,88.75,1.0,0,-62.728870309853804
42,106.25,-88.75,88.75,1.0,0,-61.71248325171656
43,108.75,-88.75,88.75,1.0,0,-60.63460826629393
44,111.25,-88.75,88.75,1.0,0,-59.246986551481214
45,113.75,-88.75,88.75,1.0,0,-57.651636290204095
46,116.25,-88.75,88.75,1.0,0,-55.68757107124454
47,118.75,-88.75,88.75,1.0,0,-53.76806559207462
48,121.25,-88.75,88.75,1.0,0,-51.99291961502041
49,123.75,-88.75,88.75,1.0,0,-50.064343108184026
50,126.25,-88.75,88.75,1.0,0,-48.214992555619276
51,128.75,-88.75,88.75,1.0,0,-46.26912282370052
52,131.25,-88.75,88.75,1.0,0,-44.207381895565874
53,133.75,-88.75,88.75,1.0,0,-42.00970486789697
54,136.25,-88.75,88.75,1.0,0,-39.37155059918485
55,138.75,-88.75,88.75,1.0,0,-36.61046335839763
56,141.25,-88.75,88.75,1.0,0,-33.8262937374491
57,143.75,-88.75,88.75,1.0,0,-30.94194768530441
58,146.25,-88.75,88.75,1.0,0,-28.39416828555454
59,148.75,-88.75,88.75,1.0,0,-26.508605585407764
60,151.25,-88.75,88.75,1.0,0,-24.71662918053745
61,153.75,-88.75,88.75,1.0,0,-22.98508069769044
62,156.25,-88.75,88.75,1.0,0,-21.314649708605174
63,158.75,-88.75,88.75,1.0,0,-19.30708697571011
64,161.25,-88.75,88.75,1.0,0,-17.21000922642297
65,163.75,-88.75,88.75,1.0,0,-15.582753746612477
66,166.25,-88.75,88.75,1.0,0,-13.968229518813224
67,168.75,-88.75,88.75,1.0,0,-12.240069531387508
68,171.25,-88.75,88.75,1.0,0,-10.76942039654373
69,173.75,-88.75,88.75,1.0,0,-9.202919167190903
70,176.25,-88.75,88.75,1.0,0,-7.753426651627167
71,178.75,-88.75,88.75,1.0,0,-6.338689734324688
72,181.25,-88.75,88.75,1.0,0,-5.239225467788841
73,183.75,-88.75,88.75,1.0,0,-4.334242380477747
74,186.25,-88.75,88.75,1.0,0,-3.509401939902908
75,188.75,-88.75,88.75,1.0,0,-2.813635405929378
76,191.25,-88.75,88.75,1.0,0,-2.519069442974551
77,193.75,-88.75,88.75,1.0,0,-2.4799788460117145
78,196.25,-88.75,88.75,1.0,0,-2.2797881458438067
79,198.75,-88.75,88.75,1.0,0,-2.3872944464414427
80,201.25,-88.75,88.75,1.0,0,-2.6570635387354677
81,203.75,-88.75,88.75,1.0,0,-2.992943713066708
82,206.25,-88.75,88.75,1.0,0,-3.416188696781989
83,208.75,-88.75,88.75,1.0,0,-3.87928326619327
84,211.25,-88.75,88.75,1.0,0,-4.324378663128378
85,213.75,-88.75,88.75,1.0,0,-4.759405369319354
86,216.25,-88.75,88.75,1.0,0,-5.175751134907782
87,218.75,-88.75,88.75,1.0,0,-5.4704081172502335
88,221.25,-88.75,88.75,1.0,0,-5.741950098339797
89,223.75,-88.75,88.75,1.0,0,-5.9663333354840695
90,226.25,-88.75,88.75,1.0,0,-6.1713412028442365
91,228.75,-88.75,88.75,1.0,0,-6.51050194412295
92,231.25,-88.75,88.75,1.0,0,-6.818893365497781
93,233.75,-88.75,88.75,1.0,0,-7.095972707488737
94,236.25,-88.75,88.75,1.0,0,-7.518507986818648
95,238.75,-88.75,88.75,1.0,0,-8.05921590976014
96,241.25,-88.75,88.75,1.0,0,-8.810948445738472
97,243.75,-88.75,88.75,1.0,0,-9.632232845960933
98,246.25,-88.75,88.75,1.0,0,-10.314311871885371
99,248.75,-88.75,88.75,1.0,0,-10.949524445928766
100,251.25,-88.75,88.75,1.0,0,-11.622755331282661
101,253.75,-88.75,88.75,1.0,0,-12.301038805809128
102,256.25,-88.75,88.75,1.0,0,-12.924851996744493
103,258.75,-88.75,88.75,1.0,0,-13.419662415489814
104,261.25,-88.75,88.75,1.0,0,-13.781408189964386
105,263.75,-88.75,88.75,1.0,0,-14.067635852553853
106,266.25,-88.75,88.75,1.0,0,-14.16309025875157
107,268.75,-88.75,88.75,1.0,0,-14.106700237043837
108,271.25,-88.75,88.75,1.0,0,-13.973623428907834
109,273.75,-88.75,88.75,1.0,0,-13.754885823034918
110,276.25,-88.75,88.75,1.0,0,-13.61171679673818
111,278.75,-88.75,88.75,1.0,0,-13.611312006849333
112,281.25,-88.75,88.75,1.0,0,-13.764593109614744
113,283.75,-88.75,88.75,1.0,0,-14.051621310164624
114,286.25,-88.75,88.75,1.0,0,-14.49936512198724
115,288.75,-88.75,88.75,1.0,0,-15.168707911888443
116,291.25,-88.75,88.75,1.0,0,-16.042869867750852
117,293.75,-88.75,88.75,1.0,0,-17.13593013599003
118,296.25,-88.75,88.75,1.0,0,-18.41113008319212
