grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.8497342911417386
1,3.75,-88.75,88.75,1.0,0,0.85045278660458
2,6.25,-88.75,88.75,1.0,0,0.8511779882133651
3,8.75,-88.75,88.75,1.0,0,0.8519114914790804
4,11.25,-88.75,88.75,1.0,0,0.851798996339347
5,13.75,-88.75,88.75,1.0,0,0.8485482395225251
6,16.25,-88.75,88.75,1.0,0,0.8457427420670527
7,18.75,-88.75,88.75,1.0,0,0.845511690341517
8,21.25,-88.75,88.75,1.0,0,0.8462713156677483
9,23.75,-88.75,88.75,1.0,0,0.8476689804835534
10,26.25,-88.75,88.75,1.0,0,0.8500788795331041
11,28.75,-88.75,88.75,1.0,0,0.8528073596758251
12,31.25,-88.75,88.75,1.0,0,0.8558288866233106
13,33.75,-88.75,88.75,1.0,0,0.8591848775645998
14,36.25,-88.75,88.75,1.0,0,0.8640295720813314
15,38.75,-88.75,88.75,1.0,0,0.8672628687571522
16,41.25,-88.75,88.75,1.0,0,0.870486542671404
17,43.75,-88.75,88.75,1.0,0,0.8738441329300614
18,46.25,-88.75,88.75,1.0,0,0.8773369948168112
19,48.75,-88.75,88.75,1.0,0,0.881172050177141
20,51.25,-88.75,88.75,1.0,0,0.885069814536689
21,53.75,-88.75,88.75,1.0,0,0.8888475077409754
22,56.25,-88.75,88.75,1.0,0,0.8916530576237242
23,58.75,-88.75,88.75,1.0,0,0.893020832421903
24,61.25,-88.75,88.75,1.0,0,0.8935976794296799
25,63.75,-88.75,88.75,1.0,0,0.8941792354770199
26,66.25,-88.75,88.75,1.0,0,0.8947526717451828
27,68.75,-88.75,88.75,1.0,0,0.895320342177393
28,71.25,-88.75,88.75,1.0,0,0.8958806999059492
29,73.75,-88.75,88.75,1.0,0,0.8964339700110083
30,76.25,-88.75,88.75,1.0,0,0.896981341627802
31,78.75,-88.75,88.75,1.0,0,0.897521915085037
32,81.25,-88.75,88.75,1.0,0,0.8995505912135909
33,83.75,-88.75,88.75,1.0,0,0.8976047806306486
34,86.25,-88.75,88.75,1.0,0,0.895645205620971
35,88.75,-88.75,88.75,1.0,0,0.8936711119169425
36,91.25,-88.75,88.75,1.0,0,0.8916817122698016
37,93.75,-88.75,88.75,1.0,0,0.8896771131574019
38,96.25,-88.75,88.75,1.0,0,0.8876563091358912
39,98.75,-88.75,88.75,1.0,0,0.8856194625137466
40,101.25,-88.75,88.75,1.0,0,0.884043387748116
41,103.75,-88.75,88.75,1.0,0,0.883759245765839
42,106.25,-88.75,88.75,1.0,0,0.8823737729391602
43,108.75,-88.75,88.75,1.0,0,0.8780385891837947
44,111.25,-88.75,88.75,1.0,0,0.8728412394947512
45,113.75,-88.75,88.75,1.0,0,0.867338670245234
46,116.25,-88.75,88.75,1.0,0,0.8616845638363275
47,118.75,-88.75,88.75,1.0,0,0.8559742858507959
48,121.25,-88.75,88.75,1.0,0,0.8502076287514116
49,123.75,-88.75,88.75,1.0,0,0.844322420462323
50,126.25,-88.75,88.75,1.0,0,0.8389296405207545
51,128.75,-88.75,88.75,1.0,0,0.8351077202807351
52,131.25,-88.75,88.75,1.0,0,0.8311022796462507
53,133.75,-88.75,88.75,1.0,0,0.8269235276508181
54,136.25,-88.75,88.75,1.0,0,0.8226703952565722
55,138.75,-88.75,88.75,1.0,0,0.8194881636982467
56,141.25,-88.75,88.75,1.0,0,0.816570231467734
57,143.75,-88.75,88.75,1.0,0,0.813350403742874
58,146.25,-88.75,88.75,1.0,0,0.8084259716845369
59,148.75,-88.75,88.75,1.0,0,0.8039195236613194
60,151.25,-88.75,88.75,1.0,0,0.7999344273620687
61,153.75,-88.75,88.75,1.0,0,0.7959949984772003
62,156.25,-88.75,88.75,1.0,0,0.7920420444860856
63,158.75,-88.75,88.75,1.0,0,0.7880758542705145
64,161.25,-88.75,88.75,1.0,0,0.784095903020362
65,163.75,-88.75,88.75,1.0,0,0.7801043521768293
66,166.25,-88.75,88.75,1.0,0,0.7761010202763899
67,168.75,-88.75,88.75,1.0,0,0.7720858844247911
68,171.25,-88.75,88.75,1.0,0,0.7646033481162804
69,173.75,-88.75,88.75,1.0,0,0.7625951856396541
70,176.25,-88.75,88.75,1.0,0,0.7606121395557934
71,178.75,-88.75,88.75,1.0,0,0.7586537604096845
72,181.25,-88.75,88.75,1.0,0,0.7567209708676308
73,183.75,-88.75,88.75,1.0,0,0.7548148688461102
74,186.25,-88.75,88.75,1.0,0,0.7529352228277121
75,188.75,-88.75,88.75,1.0,0,0.7510837588262473
76,191.25,-88.75,88.75,1.0,0,0.7485844301862316
77,193.75,-88.75,88.75,1.0,0,0.7440589895737716
78,196.25,-88.75,88.75,1.0,0,0.7405444247767096
79,198.75,-88.75,88.75,1.0,0,0.7383740445863641
80,201.25,-88.75,88.75,1.0,0,0.7372487200519187
81,203.75,-88.75,88.75,1.0,0,0.737193905874875
82,206.25,-88.75,88.75,1.0,0,0.7387096727500344
83,208.75,-88.75,88.75,1.0,0,0.7406123197435976
84,211.25,-88.75,88.75,1.0,0,0.7428496463399551
85,213.75,-88.75,88.75,1.0,0,0.7455544582380553
86,216.25,-88.75,88.75,1.0,0,0.7478525728996139
87,218.75,-88.75,88.75,1.0,0,0.7482131876137378
88,221.25,-88.75,88.75,1.0,0,0.748993627956378
89,223.75,-88.75,88.75,1.0,0,0.7501436385612268
90,226.25,-88.75,88.75,1.0,0,0.7516517446505556
91,228.75,-88.75,88.75,1.0,0,0.7538351383250053
92,231.25,-88.75,88.75,1.0,0,0.7566084025894414
