grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,-250.0433485223928,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
1,3.75,-88.75,88.75,1.0,0,-250.46541638591367,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
2,6.25,-88.75,88.75,1.0,0,-249.80616119057652,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
3,8.75,-88.75,88.75,1.0,0,-249.9017533380443,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
4,11.25,-88.75,88.75,1.0,0,-249.6671547792312,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
5,13.75,-88.75,88.75,1.0,0,-250.5727683733684,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
6,16.25,-88.75,88.75,1.0,0,-250.79215326375558,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
7,18.75,-88.75,88.75,1.0,0,-252.05808083489552,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
8,21.25,-88.75,88.75,1.0,0,-252.43327789817897,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
9,23.75,-88.75,88.75,1.0,0,-252.8967590286012,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
10,26.25,-88.75,88.75,1.0,0,-254.33152871354983,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
11,28.75,-88.75,88.75,1.0,0,-254.13193113831903,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
12,31.25,-88.75,88.75,1.0,0,-254.1475836707843,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
13,33.75,-88.75,88.75,1.0,0,-254.44161375541955,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
14,36.25,-88.75,88.75,1.0,0,-254.43132642515758,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
15,38.75,-88.75,88.75,1.0,0,-255.00403888319698,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
16,41.25,-88.75,88.75,1.0,0,-256.10688332216876,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
17,43.75,-88.75,88.75,1.0,0,-255.10446300132506,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
18,46.25,-88.75,88.75,1.0,0,-255.0522283365865,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
19,48.75,-88.75,88.75,1.0,0,-257.20447639162245,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
20,51.25,-88.75,88.75,1.0,0,-259.4260230883414,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
21,53.75,-88.75,88.75,1.0,0,-260.5261821825259,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
22,56.25,-88.75,88.75,1.0,0,-260.10937271947046,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
23,58.75,-88.75,88.75,1.0,0,-259.9424545464747,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
24,61.25,-88.75,88.75,1.0,0,-257.8668711041078,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
25,63.75,-88.75,88.75,1.0,0,-257.70840921785,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
26,66.25,-88.75,88.75,1.0,0,-258.3920465417348,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
27,68.75,-88.75,88.75,1.0,0,-257.96007041360235,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
28,71.25,-88.75,88.75,1.0,0,-257.8948873827046,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
29,73.75,-88.75,88.75,1.0,0,-258.78461269765063,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
30,76.25,-88.75,88.75,1.0,0,-260.3520864760023,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
31,78.75,-88.75,88.75,1.0,0,-260.2172980427138,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
32,81.25,-88.75,88.75,1.0,0,-260.19892270715127,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
33,83.75,-88.75,88.75,1.0,0,-256.42940056100457,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
34,86.25,-88.75,88.75,1.0,0,-257.2112974003245,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
35,88.75,-88.75,88.75,1.0,0,-253.83478364229006,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
36,91.25,-88.75,88.75,1.0,0,-252.46533127172967,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
37,93.75,-88.75,88.75,1.0,0,-250.72467066189404,1.0897317043058377,1.2,-0.1,0.0,0.0,6.547762246948402e-17,-0.0030914111097561704,-0.025532175344687713
