grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,0.39766059818583305,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
1,3.75,-88.75,88.75,1.0,0,0.42938954222762,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
2,6.25,-88.75,88.75,1.0,0,0.46035542006905505,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
3,8.75,-88.75,88.75,1.0,0,0.47955151211832914,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
4,11.25,-88.75,88.75,1.0,0,0.5061158604655629,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
5,13.75,-88.75,88.75,1.0,0,0.5292319672290537,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
6,16.25,-88.75,88.75,1.0,0,0.5515715282394987,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
7,18.75,-88.75,88.75,1.0,0,0.5708740139500478,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
8,21.25,-88.75,88.75,1.0,0,0.5782818447426775,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
9,23.75,-88.75,88.75,1.0,0,0.5927987783070174,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
10,26.25,-88.75,88.75,1.0,0,0.6157433609578297,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
11,28.75,-88.75,88.75,1.0,0,0.641001215383362,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
12,31.25,-88.75,88.75,1.0,0,0.6588428413466049,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
13,33.75,-88.75,88.75,1.0,0,0.6702464016360057,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
14,36.25,-88.75,88.75,1.0,0,0.7045241364502886,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
15,38.75,-88.75,88.75,1.0,0,0.7277816287376223,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
16,41.25,-88.75,88.75,1.0,0,0.7319862617080843,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
17,43.75,-88.75,88.75,1.0,0,0.744326755198579,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
18,46.25,-88.75,88.75,1.0,0,0.7488822642853562,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
19,48.75,-88.75,88.75,1.0,0,0.780411827213054,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
20,51.25,-88.75,88.75,1.0,0,0.7844101881421259,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
21,53.75,-88.75,88.75,1.0,0,0.7850411185535903,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
22,56.25,-88.75,88.75,1.0,0,0.7873743939742264,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
23,58.75,-88.75,88.75,1.0,0,0.7986826472937147,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
24,61.25,-88.75,88.75,1.0,0,0.8030849820152403,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
25,63.75,-88.75,88.75,1.0,0,0.8254500143089943,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
26,66.25,-88.75,88.75,1.0,0,0.8206278672021958,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
