grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,163.75,-76.25,76.25,0.0,4,-0.06929789437027663,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
1,166.25,-76.25,76.25,0.0,4,-0.04865487648050042,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
2,168.75,-76.25,76.25,0.0,4,0.008645251512434126,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
3,171.25,-76.25,76.25,0.0,4,0.0629283883442747,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
4,173.75,-76.25,76.25,0.0,4,0.05534965794408097,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
5,176.25,-76.25,76.25,0.0,4,0.012783815635779142,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
6,178.75,-76.25,76.25,0.0,4,0.036289844273301,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
7,181.25,-76.25,76.25,0.0,4,0.023066222010725276,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
8,183.75,-76.25,76.25,0.0,4,-0.04183020256197477,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
9,186.25,-76.25,76.25,0.0,4,-0.038683784848391356,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
10,188.75,-76.25,76.25,0.0,4,-0.05737254527817773,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
11,191.25,-76.25,76.25,0.0,4,-0.05950247260951247,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
12,193.75,-76.25,76.25,0.0,4,-0.03781988420292902,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
13,196.25,-76.25,76.25,0.0,4,-0.032849167295159354,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
14,198.75,-76.25,76.25,0.0,4,-0.07531568257106697,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
15,201.25,-76.25,76.25,0.0,4,-0.0986580987223712,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
16,203.75,-76.25,76.25,0.0,4,-0.08693221774518146,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
17,206.25,-76.25,76.25,0.0,4,-0.04095348031183964,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
18,208.75,-76.25,76.25,0.0,4,0.010866574598809879,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
19,211.25,-76.25,76.25,0.0,4,0.06734606617033687,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
20,213.75,-76.25,76.25,0.0,4,0.0861675675210432,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
21,303.75,-76.25,76.25,0.0,4,0.05433127563334789,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
22,306.25,-76.25,76.25,0.0,4,0.04555616101536445,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
23,308.75,-76.25,76.25,0.0,4,0.03158462000197481,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
24,311.25,-76.25,76.25,0.0,4,0.026180875850771432,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
25,313.75,-76.25,76.25,0.0,4,0.02476344390854983,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
26,316.25,-76.25,76.25,0.0,4,0.029627143373210398,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
27,318.75,-76.25,76.25,0.0,4,0.039739511821009064,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
28,321.25,-76.25,76.25,0.0,4,0.050672788636042715,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
29,323.75,-76.25,76.25,0.0,4,0.05932640530681919,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
30,326.25,-76.25,76.25,0.0,4,0.05874045670149632,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
31,328.75,-76.25,76.25,0.0,4,0.06216690606929381,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
32,331.25,-76.25,76.25,0.0,4,0.08584712189082394,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
33,166.25,-73.75,73.75,0.0,4,-0.02348936711483255,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
34,168.75,-73.75,73.75,0.0,4,-0.021913767627682216,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
35,171.25,-73.75,73.75,0.0,4,-0.03044839092635916,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
36,173.75,-73.75,73.75,0.0,4,-0.026124395751712284,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
37,176.25,-73.75,73.75,0.0,4,-0.008969857015564279,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
38,178.75,-73.75,73.75,0.0,4,0.018836528327599696,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
39,181.25,-73.75,73.75,0.0,4,0.011771481305626117,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
40,183.75,-73.75,73.75,0.0,4,0.05001173110118841,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
41,186.25,-73.75,73.75,0.0,4,0.11428878659539667,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
42,188.75,-73.75,73.75,0.0,4,0.1234569643754188,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
43,191.25,-73.75,73.75,0.0,4,0.06105015109359764,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
44,193.75,-73.75,73.75,0.0,4,-0.01182314702335814,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
45,196.25,-73.75,73.75,0.0,4,-0.05566489127130463,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
