grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.002152773339133641
1,3.75,-88.75,88.75,1.0,0,0.0021851796117156445
2,6.25,-88.75,88.75,1.0,0,0.0023259049805372167
3,8.75,-88.75,88.75,1.0,0,0.0025754494139732746
4,11.25,-88.75,88.75,1.0,0,0.0027311315338297846
5,13.75,-88.75,88.75,1.0,0,0.0028126282268963474
6,16.25,-88.75,88.75,1.0,0,0.0030186260784616625
7,18.75,-88.75,88.75,1.0,0,0.003201927379370736
8,21.25,-88.75,88.75,1.0,0,0.003412892198185512
9,23.75,-88.75,88.75,1.0,0,0.0035570115767445797
10,26.25,-88.75,88.75,1.0,0,0.003846769707095985
11,28.75,-88.75,88.75,1.0,0,0.004132361035076967
12,31.25,-88.75,88.75,1.0,0,0.004221271179555978
13,33.75,-88.75,88.75,1.0,0,0.004405020157191698
14,36.25,-88.75,88.75,1.0,0,0.004705275611946001
15,38.75,-88.75,88.75,1.0,0,0.004902529238344224
16,41.25,-88.75,88.75,1.0,0,0.0050625483840824196
17,43.75,-88.75,88.75,1.0,0,0.0052952209037343545
18,46.25,-88.75,88.75,1.0,0,0.005581426615808613
19,48.75,-88.75,88.75,1.0,0,0.005734162252839662
20,51.25,-88.75,88.75,1.0,0,0.005791655303353878
21,53.75,-88.75,88.75,1.0,0,0.005950714875999133
22,56.25,-88.75,88.75,1.0,0,0.00592805604180145
23,58.75,-88.75,88.75,1.0,0,0.005922869286049808
24,61.25,-88.75,88.75,1.0,0,0.005964569000938474
25,63.75,-88.75,88.75,1.0,0,0.006007188114416639
26,66.25,-88.75,88.75,1.0,0,0.0060491498054387844
27,68.75,-88.75,88.75,1.0,0,0.006098665963300686
28,71.25,-88.75,88.75,1.0,0,0.006153826072788321
29,73.75,-88.75,88.75,1.0,0,0.006098932469221611
30,76.25,-88.75,88.75,1.0,0,0.0061068770038060945
31,78.75,-88.75,88.75,1.0,0,0.006116712293668149
32,81.25,-88.75,88.75,1.0,0,0.005975166829394463
33,83.75,-88.75,88.75,1.0,0,0.005930508774142605
34,86.25,-88.75,88.75,1.0,0,0.0058850326645666475
35,88.75,-88.75,88.75,1.0,0,0.005690055605982456
36,91.25,-88.75,88.75,1.0,0,0.005598437366597219
37,93.75,-88.75,88.75,1.0,0,0.005506221417171033
38,96.25,-88.75,88.75,1.0,0,0.005437627823488868
39,98.75,-88.75,88.75,1.0,0,0.005385178246372732
40,101.25,-88.75,88.75,1.0,0,0.005440652647003297
41,103.75,-88.75,88.75,1.0,0,0.005379857674124442
42,106.25,-88.75,88.75,1.0,0,0.005212985206587303
43,108.75,-88.75,88.75,1.0,0,0.005165983765458385
44,111.25,-88.75,88.75,1.0,0,0.005206069407721502
45,113.75,-88.75,88.75,1.0,0,0.005266371789844003
46,116.25,-88.75,88.75,1.0,0,0.0052139366425841245
47,118.75,-88.75,88.75,1.0,0,0.005280643482883715
48,121.25,-88.75,88.75,1.0,0,0.005285966656753974
49,123.75,-88.75,88.75,1.0,0,0.00526672948428386
50,126.25,-88.75,88.75,1.0,0,0.00527801697619989
51,128.75,-88.75,88.75,1.0,0,0.005315859340093462
52,131.25,-88.75,88.75,1.0,0,0.005396347922102075
53,133.75,-88.75,88.75,1.0,0,0.005314338458481682
54,136.25,-88.75,88.75,1.0,0,0.005139871041358793
55,138.75,-88.75,88.75,1.0,0,0.004997217339894033
56,141.25,-88.75,88.75,1.0,0,0.004891585279571028
57,143.75,-88.75,88.75,1.0,0,0.004698897140717966
58,146.25,-88.75,88.75,1.0,0,0.004408218131980381
59,148.75,-88.75,88.75,1.0,0,0.00408447327332699
60,151.25,-88.75,88.75,1.0,0,0.003993262561865476
61,153.75,-88.75,88.75,1.0,0,0.003874961888764535
62,156.25,-88.75,88.75,1.0,0,0.003761039814823478
63,158.75,-88.75,88.75,1.0,0,0.0033604137793125832
64,161.25,-88.75,88.75,1.0,0,0.003053024300273108
65,163.75,-88.75,88.75,1.0,0,0.0028255435780329243
66,166.25,-88.75,88.75,1.0,0,0.0026276519131262937
67,168.75,-88.75,88.75,1.0,0,0.0025375832309886418
68,171.25,-88.75,88.75,1.0,0,0.0023241310808820997
69,173.75,-88.75,88.75,1.0,0,0.002175662657093731
70,176.25,-88.75,88.75,1.0,0,0.0019064799731274328
71,178.75,-88.75,88.75,1.0,0,0.001917571764414677
72,181.25,-88.75,88.75,1.0,0,0.0018647125912588606
73,183.75,-88.75,88.75,1.0,0,0.0016401495970066345
74,186.25,-88.75,88.75,1.0,0,0.0014972626197433828
75,188.75,-88.75,88.75,1.0,0,0.0016271335402621727
76,191.25,-88.75,88.75,1.0,0,0.0016357614421983848
77,193.75,-88.75,88.75,1.0,0,0.0014830241469006606
78,196.25,-88.75,88.75,1.0,0,0.001686042296416961
79,198.75,-88.75,88.75,1.0,0,0.0015897014531642023
80,201.25,-88.75,88.75,1.0,0,0.0015253887541140584
81,203.75,-88.75,88.75,1.0,0,0.0016277605787048605
82,206.25,-88.75,88.75,1.0,0,0.0016547740404930598
83,208.75,-88.75,88.75,1.0,0,0.0017206462634388206
84,211.25,-88.75,88.75,1.0,0,0.0017980018274885133
85,213.75,-88.75,88.75,1.0,0,0.001760303144790159
86,216.25,-88.75,88.75,1.0,0,0.0019631861856463655
87,218.75,-88.75,88.75,1.0,0,0.002187027040177413
88,221.25,-88.75,88.75,1.0,0,0.0023048877295261954
89,223.75,-88.75,88.75,1.0,0,0.002372260987799831
90,226.25,-88.75,88.75,1.0,0,0.0023389298642618943
91,228.75,-88.75,88.75,1.0,0,0.002528183211347595
92,231.25,-88.75,88.75,1.0,0,0.0028317474119030454
93,233.75,-88.75,88.75,1.0,0,0.0028938536891884355
94,236.25,-88.75,88.75,1.0,0,0.003100773910520551
95,238.75,-88.75,88.75,1.0,0,0.003171072083819213
96,241.25,-88.75,88.75,1.0,0,0.0031149227533663238
97,243.75,-88.75,88.75,1.0,0,0.00307661104206914
98,246.25,-88.75,88.75,1.0,0,0.003039147588795974
99,248.75,-88.75,88.75,1.0,0,0.003092160612806424
100,251.25,-88.75,88.75,1.0,0,0.0030410984484784947
101,253.75,-88.75,88.75,1.0,0,0.003129685355612104
102,256.25,-88.75,88.75,1.0,0,0.003124170075290227
103,258.75,-88.75,88.75,1.0,0,0.0030565089739851554
104,261.25,-88.75,88.75,1.0,0,0.0030044231819977172
105,263.75,-88.75,88.75,1.0,0,0.0028534473815106875
106,266.25,-88.75,88.75,1.0,0,0.0028721038744496416
107,268.75,-88.75,88.75,1.0,0,0.0027505480854305197
108,271.25,-88.75,88.75,1.0,0,0.0026342771588222513
109,273.75,-88.75,88.75,1.0,0,0.0025185925455413704
110,276.25,-88.75,88.75,1.0,0,0.0024017735501379515
111,278.75,-88.75,88.75,1.0,0,0.0023254894807762157
112,281.25,-88.75,88.75,1.0,0,0.002155612464493174
113,283.75,-88.75,88.75,1.0,0,0.0019754022907357218
114,286.25,-88.75,88.75,1.0,0,0.0018733075116500566
115,288.75,-88.75,88.75,1.0,0,0.0019070670253728936
116,291.25,-88.75,88.75,1.0,0,0.001723129802256722
117,293.75,-88.75,88.75,1.0,0,0.0016252466433021079
118,296.25,-88.75,88.75,1.0,0,0.0016134327700104804
119,298.75,-88.75,88.75,1.0,0,0.001575683823850162
120,301.25,-88.75,88.75,1.0,0,0.0016117844866411178
121,303.75,-88.75,88.75,1.0,0,0.001458766627110675
122,306.25,-88.75,88.75,1.0,0,0.0013548394650524291
123,308.75,-88.75,88.75,1.0,0,0.0013343418068280347
124,311.25,-88.75,88.75,1.0,0,0.0013102547755275392
125,313.75,-88.75,88.75,1.0,0,0.0013369020005878705
126,316.25,-88.75,88.75,1.0,0,0.0013511694983324026
127,318.75,-88.75,88.75,1.0,0,0.0012981677433203716
128,321.25,-88.75,88.75,1.0,0,0.0012383859329140178
129,323.75,-88.75,88.75,1.0,0,0.0013167124427909897
130,326.25,-88.75,88.75,1.0,0,0.0013655148229181975
131,328.75,-88.75,88.75,1.0,0,0.0013177544043601844
132,331.25,-88.75,88.75,1.0,0,0.001272379121474476
133,333.75,-88.75,88.75,1.0,0,0.0012765804652802388
134,336.25,-88.75,88.75,1.0,0,0.0014167172212955687
135,338.75,-88.75,88.75,1.0,0,0.0014907193825725142
136,341.25,-88.75,88.75,1.0,0,0.0015693057915154584
137,343.75,-88.75,88.75,1.0,0,0.0014810418332936652
138,346.25,-88.75,88.75,1.0,0,0.0014747064765958844
139,348.75,-88.75,88.75,1.0,0,0.0015951952208471656
140,351.25,-88.75,88.75,1.0,0,0.001731411339391306
141,353.75,-88.75,88.75,1.0,0,0.0017960117218259405
142,356.25,-88.75,88.75,1.0,0,0.001961599734217929
143,358.75,-88.75,88.75,1.0,0,0.002139034672108547
144,1.25,-86.25,86.25,1.0,0,0.001013810196127658
145,3.75,-86.25,86.25,1.0,0,0.0007699231955036475
146,6.25,-86.25,86.25,1.0,0,0.0011526268369876215
147,8.75,-86.25,86.25,1.0,0,0.0024450045091681453
148,11.25,-86.25,86.25,1.0,0,0.0026253734385207382
149,13.75,-86.25,86.25,1.0,0,0.002613161282003335
150,16.25,-86.25,86.25,1.0,0,0.0030976136888133557
151,18.75,-86.25,86.25,1.0,0,0.0034140185310174266
152,21.25,-86.25,86.25,1.0,0,0.0032469785229760307
153,23.75,-86.25,86.25,1.0,0,0.0035794624065432984
154,26.25,-86.25,86.25,1.0,0,0.0043234144177103145
155,28.75,-86.25,86.25,1.0,0,0.005086917388765461
156,31.25,-86.25,86.25,1.0,0,0.004951712000207954
157,33.75,-86.25,86.25,1.0,0,0.0054619902850943525
158,36.25,-86.25,86.25,1.0,0,0.006072010284386184
159,38.75,-86.25,86.25,1.0,0,0.006139381652978144
160,41.25,-86.25,86.25,1.0,0,0.0056711117049374985
161,43.75,-86.25,86.25,1.0,0,0.005717772601726058
162,46.25,-86.25,86.25,1.0,0,0.006195581681633486
163,48.75,-86.25,86.25,1.0,0,0.005958456913200289
164,51.25,-86.25,86.25,1.0,0,0.005761488707895163
165,53.75,-86.25,86.25,1.0,0,0.006207725143026942
166,56.25,-86.25,86.25,1.0,0,0.005330489189695548
167,58.75,-86.25,86.25,1.0,0,0.00468947575415818
168,61.25,-86.25,86.25,1.0,0,0.004608553331146174
169,63.75,-86.25,86.25,1.0,0,0.0044178049193944
170,66.25,-86.25,86.25,1.0,0,0.004254294883348023
171,68.75,-86.25,86.25,1.0,0,0.004434416518247512
172,71.25,-86.25,86.25,1.0,0,0.004252187220333398
173,73.75,-86.25,86.25,1.0,0,0.0038778171281342684
174,76.25,-86.25,86.25,1.0,0,0.003837705638539773
175,78.75,-86.25,86.25,1.0,0,0.004011281855655768
176,81.25,-86.25,86.25,1.0,0,0.0039093438933718305
177,83.75,-86.25,86.25,1.0,0,0.003958498191273561
178,86.25,-86.25,86.25,1.0,0,0.003974058525495905
179,88.75,-86.25,86.25,1.0,0,0.0037612962415928446
180,91.25,-86.25,86.25,1.0,0,0.0038209180384876857
181,93.75,-86.25,86.25,1.0,0,0.003816121209158194
182,96.25,-86.25,86.25,1.0,0,0.0035370004987466926
183,98.75,-86.25,86.25,1.0,0,0.0035589552399473944
184,101.25,-86.25,86.25,1.0,0,0.003513145024895621
185,103.75,-86.25,86.25,1.0,0,0.003069806167893822
186,106.25,-86.25,86.25,1.0,0,0.002807134449558763
187,108.75,-86.25,86.25,1.0,0,0.0025524467864660705
188,111.25,-86.25,86.25,1.0,0,0.0026180040446584086
189,113.75,-86.25,86.25,1.0,0,0.002296318297324802
190,116.25,-86.25,86.25,1.0,0,0.001991940556210801
191,118.75,-86.25,86.25,1.0,0,0.0018932717644856848
192,121.25,-86.25,86.25,1.0,0,0.0016045600620549429
193,123.75,-86.25,86.25,1.0,0,0.0014083991409805786
194,126.25,-86.25,86.25,1.0,0,0.0013843244059158688
195,128.75,-86.25,86.25,1.0,0,0.0012466463480248675
196,131.25,-86.25,86.25,1.0,0,0.0012739938431184576
197,133.75,-86.25,86.25,1.0,0,0.0014182774751963843
198,136.25,-86.25,86.25,1.0,0,0.0010374968622047212
199,138.75,-86.25,86.25,1.0,0,0.0009039819417660823
200,141.25,-86.25,86.25,1.0,0,0.0002920515651845728
201,143.75,-86.25,86.25,1.0,0,8.013886250396804e-05
202,146.25,-86.25,86.25,1.0,0,-7.914195822274146e-05
203,148.75,-86.25,86.25,1.0,0,-0.0002493703501342214
204,151.25,-86.25,86.25,1.0,0,-0.0006211667878001958
205,153.75,-86.25,86.25,1.0,0,-0.00020859289306935828
206,156.25,-86.25,86.25,1.0,0,0.0004567402919974015
207,158.75,-86.25,86.25,1.0,0,-9.232961994805923e-05
208,161.25,-86.25,86.25,1.0,0,-0.0002985769782086051
209,163.75,-86.25,86.25,1.0,0,-0.0009685773551132378
210,166.25,-86.25,86.25,1.0,0,-0.0007636300876478556
211,168.75,-86.25,86.25,1.0,0,-0.0008908271843440129
212,171.25,-86.25,86.25,1.0,0,-0.0023247845925317237
213,173.75,-86.25,86.25,1.0,0,-0.0033248806120220386
214,176.25,-86.25,86.25,1.0,0,-0.004856204176746277
215,178.75,-86.25,86.25,1.0,0,-0.005633430260397191
216,181.25,-86.25,86.25,1.0,0,-0.0058996369839596115
217,183.75,-86.25,86.25,1.0,0,-0.008028960163974929
218,186.25,-86.25,86.25,1.0,0,-0.008906287714881616
219,188.75,-86.25,86.25,1.0,0,-0.008516591383024241
220,191.25,-86.25,86.25,1.0,0,-0.008589724573193363
221,193.75,-86.25,86.25,1.0,0,-0.009075132397939637
222,196.25,-86.25,86.25,1.0,0,-0.008498313125482297
223,198.75,-86.25,86.25,1.0,0,-0.00907762399047517
224,201.25,-86.25,86.25,1.0,0,-0.00889095107886649
225,203.75,-86.25,86.25,1.0,0,-0.008011966653699902
226,206.25,-86.25,86.25,1.0,0,-0.008262855602036108
227,208.75,-86.25,86.25,1.0,0,-0.007825588931234027
228,211.25,-86.25,86.25,1.0,0,-0.007484929883311142
229,213.75,-86.25,86.25,1.0,0,-0.007674144066996481
230,216.25,-86.25,86.25,1.0,0,-0.0066528856745669916
231,218.75,-86.25,86.25,1.0,0,-0.004922720689414359
232,221.25,-86.25,86.25,1.0,0,-0.0035556423343073326
233,223.75,-86.25,86.25,1.0,0,-0.002869713481479746
234,226.25,-86.25,86.25,1.0,0,-0.002843723021881682
235,228.75,-86.25,86.25,1.0,0,-0.0015829519507946322
236,231.25,-86.25,86.25,1.0,0,0.00046777486478918634
237,233.75,-86.25,86.25,1.0,0,0.0016503046695618782
238,236.25,-86.25,86.25,1.0,0,0.0035269548397627564
239,238.75,-86.25,86.25,1.0,0,0.0047260254225365205
240,241.25,-86.25,86.25,1.0,0,0.005117763458917085
241,243.75,-86.25,86.25,1.0,0,0.00547414138657203
242,246.25,-86.25,86.25,1.0,0,0.006233011877605835
243,248.75,-86.25,86.25,1.0,0,0.006929573669379378
244,251.25,-86.25,86.25,1.0,0,0.007132660457217493
245,253.75,-86.25,86.25,1.0,0,0.007891940044888442
246,256.25,-86.25,86.25,1.0,0,0.008499863558340422
247,258.75,-86.25,86.25,1.0,0,0.007892520899391894
248,261.25,-86.25,86.25,1.0,0,0.007861963500658174
249,263.75,-86.25,86.25,1.0,0,0.0071520060909848245
250,266.25,-86.25,86.25,1.0,0,0.008043385798694274
251,268.75,-86.25,86.25,1.0,0,0.007511658972361011
252,271.25,-86.25,86.25,1.0,0,0.006973609154613106
253,273.75,-86.25,86.25,1.0,0,0.006516329366702952
254,276.25,-86.25,86.25,1.0,0,0.005819342263915225
255,278.75,-86.25,86.25,1.0,0,0.004710046603911905
256,281.25,-86.25,86.25,1.0,0,0.0031649109035933464
257,283.75,-86.25,86.25,1.0,0,0.002259407737766382
258,286.25,-86.25,86.25,1.0,0,0.001328966266209621
259,288.75,-86.25,86.25,1.0,0,0.001742542692479332
260,291.25,-86.25,86.25,1.0,0,0.0008687697356556879
261,293.75,-86.25,86.25,1.0,0,0.0006513142255877529
262,296.25,-86.25,86.25,1.0,0,0.00045858040843279273
263,298.75,-86.25,86.25,1.0,0,0.00034601133793322856
264,301.25,-86.25,86.25,1.0,0,0.0005302318807871954
265,303.75,-86.25,86.25,1.0,0,-0.00045035173977850526
266,306.25,-86.25,86.25,1.0,0,-0.0009848802818310225
267,308.75,-86.25,86.25,1.0,0,-0.0008821024771966491
268,311.25,-86.25,86.25,1.0,0,-0.0015630381043143704
269,313.75,-86.25,86.25,1.0,0,-0.001529128762965379
270,316.25,-86.25,86.25,1.0,0,-0.001572500427606965
271,318.75,-86.25,86.25,1.0,0,-0.0022327510215547994
272,321.25,-86.25,86.25,1.0,0,-0.002726672980127497
273,323.75,-86.25,86.25,1.0,0,-0.002288688376630701
274,326.25,-86.25,86.25,1.0,0,-0.0020895727303193324
275,328.75,-86.25,86.25,1.0,0,-0.0022389117078402206
276,331.25,-86.25,86.25,1.0,0,-0.0023877448497725967
277,333.75,-86.25,86.25,1.0,0,-0.0026270176910984763
278,336.25,-86.25,86.25,1.0,0,-0.0020914619989193506
279,338.75,-86.25,86.25,1.0,0,-0.001551379999034503
280,341.25,-86.25,86.25,1.0,0,-0.0009183994801901783
281,343.75,-86.25,86.25,1.0,0,-0.0014171969450233139
282,346.25,-86.25,86.25,1.0,0,-0.0015830403847406048
283,348.75,-86.25,86.25,1.0,0,-0.0009786738667917803
