grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.015526233434599532
1,3.75,-88.75,88.75,1.0,0,0.015301084775191794
2,6.25,-88.75,88.75,1.0,0,0.015061818220085803
3,8.75,-88.75,88.75,1.0,0,0.014889581240834691
4,11.25,-88.75,88.75,1.0,0,0.014675990901225707
5,13.75,-88.75,88.75,1.0,0,0.014449983249373454
6,16.25,-88.75,88.75,1.0,0,0.014264003260897381
7,18.75,-88.75,88.75,1.0,0,0.014062748012586113
8,21.25,-88.75,88.75,1.0,0,0.013887507127084238
9,23.75,-88.75,88.75,1.0,0,0.01373749742346393
10,26.25,-88.75,88.75,1.0,0,0.013560617055877116
11,28.75,-88.75,88.75,1.0,0,0.013416060450297309
12,31.25,-88.75,88.75,1.0,0,0.013290228461571987
13,33.75,-88.75,88.75,1.0,0,0.013178021164369997
14,36.25,-88.75,88.75,1.0,0,0.01307508036891561
15,38.75,-88.75,88.75,1.0,0,0.012984896675719417
16,41.25,-88.75,88.75,1.0,0,0.012928220092019074
17,43.75,-88.75,88.75,1.0,0,0.012868490640867493
18,46.25,-88.75,88.75,1.0,0,0.01279730309079513
19,48.75,-88.75,88.75,1.0,0,0.012737967087864135
20,51.25,-88.75,88.75,1.0,0,0.012686605926200457
21,53.75,-88.75,88.75,1.0,0,0.012625323848866669
22,56.25,-88.75,88.75,1.0,0,0.012572587393307607
23,58.75,-88.75,88.75,1.0,0,0.01251402097698214
24,61.25,-88.75,88.75,1.0,0,0.012437265084144947
25,63.75,-88.75,88.75,1.0,0,0.01238180814787303
26,66.25,-88.75,88.75,1.0,0,0.012359042866645258
27,68.75,-88.75,88.75,1.0,0,0.012342858154617607
28,71.25,-88.75,88.75,1.0,0,0.012308047482726247
29,73.75,-88.75,88.75,1.0,0,0.01227034273850163
30,76.25,-88.75,88.75,1.0,0,0.012196345940785476
31,78.75,-88.75,88.75,1.0,0,0.012069115492280723
32,81.25,-88.75,88.75,1.0,0,0.011920759503198477
33,83.75,-88.75,88.75,1.0,0,0.011792877203951058
