grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.0156822331794885
1,3.75,-88.75,88.75,1.0,0,0.015508314328134968
2,6.25,-88.75,88.75,1.0,0,0.015151998799671057
3,8.75,-88.75,88.75,1.0,0,0.014878604297221062
4,11.25,-88.75,88.75,1.0,0,0.014739533395386788
5,13.75,-88.75,88.75,1.0,0,0.014527176600561359
6,16.25,-88.75,88.75,1.0,0,0.014377516280931806
7,18.75,-88.75,88.75,1.0,0,0.014325153826911803
8,21.25,-88.75,88.75,1.0,0,0.014330167058031492
9,23.75,-88.75,88.75,1.0,0,0.014432653164387747
10,26.25,-88.75,88.75,1.0,0,0.014604662675174485
11,28.75,-88.75,88.75,1.0,0,0.014838279328489466
12,31.25,-88.75,88.75,1.0,0,0.01495429571379321
13,33.75,-88.75,88.75,1.0,0,0.015104132239913184
14,36.25,-88.75,88.75,1.0,0,0.015249812733796287
15,38.75,-88.75,88.75,1.0,0,0.015127318564108913
16,41.25,-88.75,88.75,1.0,0,0.015145141441722626
17,43.75,-88.75,88.75,1.0,0,0.015233851242052648
18,46.25,-88.75,88.75,1.0,0,0.015168645582246374
19,48.75,-88.75,88.75,1.0,0,0.015167777339637669
20,51.25,-88.75,88.75,1.0,0,0.015049798907494003
21,53.75,-88.75,88.75,1.0,0,0.014803954027259003
22,56.25,-88.75,88.75,1.0,0,0.014789781001136551
23,58.75,-88.75,88.75,1.0,0,0.01468085332266669
24,61.25,-88.75,88.75,1.0,0,0.014428361661462021
25,63.75,-88.75,88.75,1.0,0,0.01429658311676506
26,66.25,-88.75,88.75,1.0,0,0.01421886290960465
27,68.75,-88.75,88.75,1.0,0,0.014139107645003292
28,71.25,-88.75,88.75,1.0,0,0.013921485270264579
29,73.75,-88.75,88.75,1.0,0,0.013794887441912483
30,76.25,-88.75,88.75,1.0,0,0.013856952156371907
31,78.75,-88.75,88.75,1.0,0,0.013842634649632445
32,81.25,-88.75,88.75,1.0,0,0.013736537209767597
33,83.75,-88.75,88.75,1.0,0,0.013781547438147492
34,86.25,-88.75,88.75,1.0,0,0.01391304089989135
35,88.75,-88.75,88.75,1.0,0,0.01395452145516084
36,91.25,-88.75,88.75,1.0,0,0.014140608723953596
37,93.75,-88.75,88.75,1.0,0,0.01441858821451842
38,96.25,-88.75,88.75,1.0,0,0.014522711486868095
39,98.75,-88.75,88.75,1.0,0,0.014778202073510528
40,101.25,-88.75,88.75,1.0,0,0.014995356853045583
41,103.75,-88.75,88.75,1.0,0,0.015063362220418819
42,106.25,-88.75,88.75,1.0,0,0.01519911642496595
43,108.75,-88.75,88.75,1.0,0,0.015400681181121038
44,111.25,-88.75,88.75,1.0,0,0.015666058921237683
45,113.75,-88.75,88.75,1.0,0,0.0156554267106883
46,116.25,-88.75,88.75,1.0,0,0.015573112889311388
47,118.75,-88.75,88.75,1.0,0,0.0156287047785716
48,121.25,-88.75,88.75,1.0,0,0.015561584032346972
49,123.75,-88.75,88.75,1.0,0,0.015517909013390932
50,126.25,-88.75,88.75,1.0,0,0.01543045974570121
51,128.75,-88.75,88.75,1.0,0,0.015267239787838225
52,131.25,-88.75,88.75,1.0,0,0.014998391811605522
53,133.75,-88.75,88.75,1.0,0,0.014990604876339103
54,136.25,-88.75,88.75,1.0,0,0.015175469753389757
55,138.75,-88.75,88.75,1.0,0,0.014818959026562783
56,141.25,-88.75,88.75,1.0,0,0.014659678406785812
57,143.75,-88.75,88.75,1.0,0,0.014783802671759876
58,146.25,-88.75,88.75,1.0,0,0.014706200254559541
59,148.75,-88.75,88.75,1.0,0,0.015040817826969661
60,151.25,-88.75,88.75,1.0,0,0.01558763032376255
61,153.75,-88.75,88.75,1.0,0,0.016027704475970076
62,156.25,-88.75,88.75,1.0,0,0.016665678892232097
63,158.75,-88.75,88.75,1.0,0,0.01743222886359618
64,161.25,-88.75,88.75,1.0,0,0.01803906400519749
65,163.75,-88.75,88.75,1.0,0,0.018237662381878798
66,166.25,-88.75,88.75,1.0,0,0.018200653509858486
67,168.75,-88.75,88.75,1.0,0,0.019038391473219764
68,171.25,-88.75,88.75,1.0,0,0.02071313883520074
69,173.75,-88.75,88.75,1.0,0,0.021279465872320585
