grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-129.90032730736021
1,3.75,-88.75,88.75,1.0,0,-129.8640162696202
2,6.25,-88.75,88.75,1.0,0,-129.8160354942277
3,8.75,-88.75,88.75,1.0,0,-129.75566719722096
4,11.25,-88.75,88.75,1.0,0,-129.67874109131915
5,13.75,-88.75,88.75,1.0,0,-129.5938661576235
6,16.25,-88.75,88.75,1.0,0,-129.5095944696177
7,18.75,-88.75,88.75,1.0,0,-129.41399049923666
8,21.25,-88.75,88.75,1.0,0,-129.31915092230446
9,23.75,-88.75,88.75,1.0,0,-129.22964656745623
10,26.25,-88.75,88.75,1.0,0,-129.13008841329045
11,28.75,-88.75,88.75,1.0,0,-129.04033237204536
12,31.25,-88.75,88.75,1.0,0,-128.97760695843402
13,33.75,-88.75,88.75,1.0,0,-128.94275501235973
14,36.25,-88.75,88.75,1.0,0,-128.93352162914513
15,38.75,-88.75,88.75,1.0,0,-128.92651477102706
16,41.25,-88.75,88.75,1.0,0,-128.9155358443507
17,43.75,-88.75,88.75,1.0,0,-128.90787063647375
18,46.25,-88.75,88.75,1.0,0,-128.887086003592
19,48.75,-88.75,88.75,1.0,0,-128.82431975283257
20,51.25,-88.75,88.75,1.0,0,-128.70325370567002
21,53.75,-88.75,88.75,1.0,0,-128.5325132090109
22,56.25,-88.75,88.75,1.0,0,-128.2745591305937
23,58.75,-88.75,88.75,1.0,0,-127.98649012593779
24,61.25,-88.75,88.75,1.0,0,-127.75758609012607
25,63.75,-88.75,88.75,1.0,0,-127.58006229968875
26,66.25,-88.75,88.75,1.0,0,-127.47155427031907
27,68.75,-88.75,88.75,1.0,0,-127.43929559422008
28,71.25,-88.75,88.75,1.0,0,-127.40696872831857
29,73.75,-88.75,88.75,1.0,0,-127.37172998669914
30,76.25,-88.75,88.75,1.0,0,-127.32958568628186
31,78.75,-88.75,88.75,1.0,0,-127.28507486445561
32,81.25,-88.75,88.75,1.0,0,-127.2352536443259
33,83.75,-88.75,88.75,1.0,0,-127.20121578643383
34,86.25,-88.75,88.75,1.0,0,-127.16025022076795
35,88.75,-88.75,88.75,1.0,0,-127.11026887938755
36,91.25,-88.75,88.75,1.0,0,-127.05162696486539
37,93.75,-88.75,88.75,1.0,0,-126.96333148617553
38,96.25,-88.75,88.75,1.0,0,-126.84518762339091
39,98.75,-88.75,88.75,1.0,0,-126.70463339074885
40,101.25,-88.75,88.75,1.0,0,-126.51531673335099
41,103.75,-88.75,88.75,1.0,0,-126.3012138738905
42,106.25,-88.75,88.75,1.0,0,-126.10738973797946
43,108.75,-88.75,88.75,1.0,0,-125.93279777802755
44,111.25,-88.75,88.75,1.0,0,-125.76062122467397
45,113.75,-88.75,88.75,1.0,0,-125.62210561247636
46,116.25,-88.75,88.75,1.0,0,-125.50451715218031
47,118.75,-88.75,88.75,1.0,0,-125.41989046185147
48,121.25,-88.75,88.75,1.0,0,-125.36065488889409
49,123.75,-88.75,88.75,1.0,0,-125.28728506991743
50,126.25,-88.75,88.75,1.0,0,-125.17320806627916
51,128.75,-88.75,88.75,1.0,0,-125.03368087777021
52,131.25,-88.75,88.75,1.0,0,-124.87803117344733
53,133.75,-88.75,88.75,1.0,0,-124.7620899277399
54,136.25,-88.75,88.75,1.0,0,-124.70640169372032
55,138.75,-88.75,88.75,1.0,0,-124.6646245836227
56,141.25,-88.75,88.75,1.0,0,-124.62163353597967
57,143.75,-88.75,88.75,1.0,0,-124.56360728603687
58,146.25,-88.75,88.75,1.0,0,-124.40008847579875
59,148.75,-88.75,88.75,1.0,0,-124.15414171182866
60,151.25,-88.75,88.75,1.0,0,-123.8472755644797
61,153.75,-88.75,88.75,1.0,0,-123.50599988496633
62,156.25,-88.75,88.75,1.0,0,-123.20614421003188
63,158.75,-88.75,88.75,1.0,0,-122.98750500328728
64,161.25,-88.75,88.75,1.0,0,-122.80875705036276
65,163.75,-88.75,88.75,1.0,0,-122.59039595336594
66,166.25,-88.75,88.75,1.0,0,-122.46605914058789
67,168.75,-88.75,88.75,1.0,0,-122.27243401847568
68,171.25,-88.75,88.75,1.0,0,-122.17018111158268
69,173.75,-88.75,88.75,1.0,0,-122.12142187825505
70,176.25,-88.75,88.75,1.0,0,-122.09122385860448
71,178.75,-88.75,88.75,1.0,0,-121.99170187140153
72,181.25,-88.75,88.75,1.0,0,-121.84163118322601
73,183.75,-88.75,88.75,1.0,0,-121.83414278191951
74,186.25,-88.75,88.75,1.0,0,-121.85713243502775
75,188.75,-88.75,88.75,1.0,0,-121.90011798082526
76,191.25,-88.75,88.75,1.0,0,-121.96544917415163
77,193.75,-88.75,88.75,1.0,0,-122.04821241416359
78,196.25,-88.75,88.75,1.0,0,-122.13108347601838
79,198.75,-88.75,88.75,1.0,0,-122.22242275230171
80,201.25,-88.75,88.75,1.0,0,-122.31161127118591
81,203.75,-88.75,88.75,1.0,0,-122.39480353275297
82,206.25,-88.75,88.75,1.0,0,-122.4909897529348
83,208.75,-88.75,88.75,1.0,0,-122.5875154059755
84,211.25,-88.75,88.75,1.0,0,-122.66991030320621
85,213.75,-88.75,88.75,1.0,0,-122.7585223735254
86,216.25,-88.75,88.75,1.0,0,-122.85196678538028
87,218.75,-88.75,88.75,1.0,0,-122.94606647141501
88,221.25,-88.75,88.75,1.0,0,-123.05956508617123
89,223.75,-88.75,88.75,1.0,0,-123.18231816026213
90,226.25,-88.75,88.75,1.0,0,-123.69103614235232
91,228.75,-88.75,88.75,1.0,0,-124.1699566097068
92,231.25,-88.75,88.75,1.0,0,-124.33834716647632
93,233.75,-88.75,88.75,1.0,0,-124.46413036519522
94,236.25,-88.75,88.75,1.0,0,-124.60339268386117
95,238.75,-88.75,88.75,1.0,0,-124.73725783322782
