grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-55.01314962782619
1,3.75,-88.75,88.75,1.0,0,-54.753864130023445
2,6.25,-88.75,88.75,1.0,0,-54.23652181081604
3,8.75,-88.75,88.75,1.0,0,-53.71528015441804
4,11.25,-88.75,88.75,1.0,0,-53.19279753000545
5,13.75,-88.75,88.75,1.0,0,-52.67083381871129
6,16.25,-88.75,88.75,1.0,0,-52.15048926436909
7,18.75,-88.75,88.75,1.0,0,-51.635163952810096
8,21.25,-88.75,88.75,1.0,0,-51.12705653174748
9,23.75,-88.75,88.75,1.0,0,-50.62633301361797
10,26.25,-88.75,88.75,1.0,0,-50.13137391131007
11,28.75,-88.75,88.75,1.0,0,-49.64291457213618
12,31.25,-88.75,88.75,1.0,0,-49.16693222809893
13,33.75,-88.75,88.75,1.0,0,-48.70673387343421
14,36.25,-88.75,88.75,1.0,0,-48.26263139320883
15,38.75,-88.75,88.75,1.0,0,-47.83599610363329
16,41.25,-88.75,88.75,1.0,0,-47.432033207149985
17,43.75,-88.75,88.75,1.0,0,-47.053054661983765
18,46.25,-88.75,88.75,1.0,0,-46.69576605096023
19,48.75,-88.75,88.75,1.0,0,-46.36132071878407
20,51.25,-88.75,88.75,1.0,0,-46.04362942638299
21,53.75,-88.75,88.75,1.0,0,-45.73707107869621
22,56.25,-88.75,88.75,1.0,0,-45.45047688344451
23,58.75,-88.75,88.75,1.0,0,-45.190212898939194
24,61.25,-88.75,88.75,1.0,0,-44.9519469608722
25,63.75,-88.75,88.75,1.0,0,-44.73001129425273
26,66.25,-88.75,88.75,1.0,0,-44.52520199598827
27,68.75,-88.75,88.75,1.0,0,-44.336834312480185
28,71.25,-88.75,88.75,1.0,0,-44.161940341878825
29,73.75,-88.75,88.75,1.0,0,-43.999787618902864
30,76.25,-88.75,88.75,1.0,0,-43.85046353988031
31,78.75,-88.75,88.75,1.0,0,-43.71347135030204
32,81.25,-88.75,88.75,1.0,0,-43.58872448268267
33,83.75,-88.75,88.75,1.0,0,-43.47745866716971
34,86.25,-88.75,88.75,1.0,0,-43.380593941679265
