grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend_forced
0,1.25,-88.75,88.75,1.0,0,-218.90805490730202
1,3.75,-88.75,88.75,1.0,0,-219.05529130490567
2,6.25,-88.75,88.75,1.0,0,-219.07328745535818
3,8.75,-88.75,88.75,1.0,0,-219.2715476594266
4,11.25,-88.75,88.75,1.0,0,-219.45231988348888
5,13.75,-88.75,88.75,1.0,0,-219.57197319148295
6,16.25,-88.75,88.75,1.0,0,-219.60270100893408
7,18.75,-88.75,88.75,1.0,0,-219.83758047956053
8,21.25,-88.75,88.75,1.0,0,-220.06109376533092
9,23.75,-88.75,88.75,1.0,0,-220.32500999478492
10,26.25,-88.75,88.75,1.0,0,-220.52502123802319
11,28.75,-88.75,88.75,1.0,0,-220.74464118951136
12,31.25,-88.75,88.75,1.0,0,-221.13916051241762
13,33.75,-88.75,88.75,1.0,0,-221.45182700548543
14,36.25,-88.75,88.75,1.0,0,-221.90981649250554
15,38.75,-88.75,88.75,1.0,0,-222.22800046242233
16,41.25,-88.75,88.75,1.0,0,-222.65852058124995
17,43.75,-88.75,88.75,1.0,0,-222.85975960590895
18,46.25,-88.75,88.75,1.0,0,-223.10522404948549
19,48.75,-88.75,88.75,1.0,0,-223.1944742497841
20,51.25,-88.75,88.75,1.0,0,-223.98111015700016
21,53.75,-88.75,88.75,1.0,0,-225.04094060799716
22,56.25,-88.75,88.75,1.0,0,-225.26781768561088
23,58.75,-88.75,88.75,1.0,0,-226.16063955409174
24,61.25,-88.75,88.75,1.0,0,-226.14750118097962
25,63.75,-88.75,88.75,1.0,0,-226.24581863014436
26,66.25,-88.75,88.75,1.0,0,-227.0207551088254
27,68.75,-88.75,88.75,1.0,0,-227.43708863244862
28,71.25,-88.75,88.75,1.0,0,-228.1573975253683
29,73.75,-88.75,88.75,1.0,0,-229.16748327003674
30,76.25,-88.75,88.75,1.0,0,-230.5040516865244
31,78.75,-88.75,88.75,1.0,0,-231.45842017066872
32,81.25,-88.75,88.75,1.0,0,-233.57973827180237
33,83.75,-88.75,88.75,1.0,0,-233.52972319930416
34,86.25,-88.75,88.75,1.0,0,-232.25026455103324
35,88.75,-88.75,88.75,1.0,0,-231.29808805530445
36,91.25,-88.75,88.75,1.0,0,-231.85106410163692
37,93.75,-88.75,88.75,1.0,0,-233.06743839024824
38,96.25,-88.75,88.75,1.0,0,-235.65289685597878
39,98.75,-88.75,88.75,1.0,0,-236.25373326539955
40,101.25,-88.75,88.75,1.0,0,-236.43447300893226
41,103.75,-88.75,88.75,1.0,0,-236.6511447145902
42,106.25,-88.75,88.75,1.0,0,-236.68216721239747
43,108.75,-88.75,88.75,1.0,0,-237.10199774052862
44,111.25,-88.75,88.75,1.0,0,-236.79830870231694
45,113.75,-88.75,88.75,1.0,0,-237.9340442932115
46,116.25,-88.75,88.75,1.0,0,-236.76663710582156
47,118.75,-88.75,88.75,1.0,0,-236.44048254446307
48,121.25,-88.75,88.75,1.0,0,-236.74888162933703
49,123.75,-88.75,88.75,1.0,0,-236.40294308429566
50,126.25,-88.75,88.75,1.0,0,-236.83266120971828
51,128.75,-88.75,88.75,1.0,0,-236.79901768585057
52,131.25,-88.75,88.75,1.0,0,-235.87404833905424
53,133.75,-88.75,88.75,1.0,0,-236.46241457326872
54,136.25,-88.75,88.75,1.0,0,-236.15263708383296
55,138.75,-88.75,88.75,1.0,0,-234.90187124060174
56,141.25,-88.75,88.75,1.0,0,-234.30297383866986
57,143.75,-88.75,88.75,1.0,0,-233.09307517870064
58,146.25,-88.75,88.75,1.0,0,-230.48170072723056
59,148.75,-88.75,88.75,1.0,0,-229.15798932699118
60,151.25,-88.75,88.75,1.0,0,-225.90490054443524
61,153.75,-88.75,88.75,1.0,0,-224.06895791219696
62,156.25,-88.75,88.75,1.0,0,-224.42054570051835
63,158.75,-88.75,88.75,1.0,0,-223.96883901770812
64,161.25,-88.75,88.75,1.0,0,-222.76148333539192
65,163.75,-88.75,88.75,1.0,0,-222.57272162275535
66,166.25,-88.75,88.75,1.0,0,-224.26504948799735
67,168.75,-88.75,88.75,1.0,0,-224.1953425049932
68,171.25,-88.75,88.75,1.0,0,-224.73547804295129
69,173.75,-88.75,88.75,1.0,0,-224.76572690936143
70,176.25,-88.75,88.75,1.0,0,-222.45396501512064
71,178.75,-88.75,88.75,1.0,0,-220.4373081565102
72,181.25,-88.75,88.75,1.0,0,-218.86674300657344
73,183.75,-88.75,88.75,1.0,0,-216.40923171796658
74,186.25,-88.75,88.75,1.0,0,-214.92450062665742
75,188.75,-88.75,88.75,1.0,0,-213.87826427192832
76,191.25,-88.75,88.75,1.0,0,-212.13327072177754
77,193.75,-88.75,88.75,1.0,0,-210.0848124690187
78,196.25,-88.75,88.75,1.0,0,-209.55198107442354
79,198.75,-88.75,88.75,1.0,0,-210.7730347741624
80,201.25,-88.75,88.75,1.0,0,-211.57274670383185
81,203.75,-88.75,88.75,1.0,0,-211.4945591946939
82,206.25,-88.75,88.75,1.0,0,-209.63686549163748
83,208.75,-88.75,88.75,1.0,0,-208.44889778916644
84,211.25,-88.75,88.75,1.0,0,-208.99842534871198
85,213.75,-88.75,88.75,1.0,0,-209.50519426480167
86,216.25,-88.75,88.75,1.0,0,-209.7728780660745
87,218.75,-88.75,88.75,1.0,0,-209.8896757257604
88,221.25,-88.75,88.75,1.0,0,-210.31529472966355
89,223.75,-88.75,88.75,1.0,0,-210.53861471767618
90,226.25,-88.75,88.75,1.0,0,-210.65129644595265
91,228.75,-88.75,88.75,1.0,0,-211.87298768896696
92,231.25,-88.75,88.75,1.0,0,-214.28117633803186
93,233.75,-88.75,88.75,1.0,0,-215.34389840649507
94,236.25,-88.75,88.75,1.0,0,-215.77667684435116
95,238.75,-88.75,88.75,1.0,0,-216.5628015500726
96,241.25,-88.75,88.75,1.0,0,-217.3660798069839
97,243.75,-88.75,88.75,1.0,0,-218.4834979222959
98,246.25,-88.75,88.75,1.0,0,-218.62931764869288
99,248.75,-88.75,88.75,1.0,0,-217.79973447600744
100,251.25,-88.75,88.75,1.0,0,-216.74629581847498
101,253.75,-88.75,88.75,1.0,0,-215.84202195861286
102,256.25,-88.75,88.75,1.0,0,-216.00668580880196
103,258.75,-88.75,88.75,1.0,0,-218.7590531972204
104,261.25,-88.75,88.75,1.0,0,-219.9560575736732
105,263.75,-88.75,88.75,1.0,0,-218.36670286523128
106,266.25,-88.75,88.75,1.0,0,-217.7859988969911
107,268.75,-88.75,88.75,1.0,0,-217.51111517506192
108,271.25,-88.75,88.75,1.0,0,-216.64755946570693
109,273.75,-88.75,88.75,1.0,0,-216.143374086637
110,276.25,-88.75,88.75,1.0,0,-215.86687761798444
111,278.75,-88.75,88.75,1.0,0,-215.2574310642641
112,281.25,-88.75,88.75,1.0,0,-214.90589955141238
113,283.75,-88.75,88.75,1.0,0,-215.02052420830404
114,286.25,-88.75,88.75,1.0,0,-215.1881337938202
115,288.75,-88.75,88.75,1.0,0,-215.4929468284829
116,291.25,-88.75,88.75,1.0,0,-215.6440277297274
117,293.75,-88.75,88.75,1.0,0,-215.83748748835603
118,296.25,-88.75,88.75,1.0,0,-216.18767918723395
119,298.75,-88.75,88.75,1.0,0,-216.46363011371557
120,301.25,-88.75,88.75,1.0,0,-216.71764585982154
121,303.75,-88.75,88.75,1.0,0,-216.8315262034194
122,306.25,-88.75,88.75,1.0,0,-217.04086822841
123,308.75,-88.75,88.75,1.0,0,-216.74453048303712
124,311.25,-88.75,88.75,1.0,0,-216.96385774132105
125,313.75,-88.75,88.75,1.0,0,-216.89710385112224
126,316.25,-88.75,88.75,1.0,0,-216.90343810613302
127,318.75,-88.75,88.75,1.0,0,-217.21868972770642
128,321.25,-88.75,88.75,1.0,0,-217.31378300184676
129,323.75,-88.75,88.75,1.0,0,-217.68859770397248
130,326.25,-88.75,88.75,1.0,0,-217.8136024760523
131,328.75,-88.75,88.75,1.0,0,-218.1148946400447
132,331.25,-88.75,88.75,1.0,0,-218.50340770407112
133,333.75,-88.75,88.75,1.0,0,-218.6973922639699
134,336.25,-88.75,88.75,1.0,0,-218.45060671809003
135,338.75,-88.75,88.75,1.0,0,-218.17731586654108
136,341.25,-88.75,88.75,1.0,0,-218.3514952813483
137,343.75,-88.75,88.75,1.0,0,-218.25682207014313
138,346.25,-88.75,88.75,1.0,0,-218.5682624621586
139,348.75,-88.75,88.75,1.0,0,-218.60364125600086
140,351.25,-88.75,88.75,1.0,0,-218.7347703191377
141,353.75,-88.75,88.75,1.0,0,-218.8117800177871
142,356.25,-88.75,88.75,1.0,0,-218.87753832278025
143,358.75,-88.75,88.75,1.0,0,-219.14030755851383
144,1.25,-86.25,86.25,1.0,0,-226.59095051606135
145,3.75,-86.25,86.25,1.0,0,-226.98644224901224
146,6.25,-86.25,86.25,1.0,0,-227.27442917768713
147,8.75,-86.25,86.25,1.0,0,-227.57539858045402
148,11.25,-86.25,86.25,1.0,0,-227.64839987493622
149,13.75,-86.25,86.25,1.0,0,-227.3928033727559
150,16.25,-86.25,86.25,1.0,0,-227.0526051149136
151,18.75,-86.25,86.25,1.0,0,-226.72642381623413
152,21.25,-86.25,86.25,1.0,0,-226.4477092055113
153,23.75,-86.25,86.25,1.0,0,-226.20184346937023
154,26.25,-86.25,86.25,1.0,0,-225.79397271224022
155,28.75,-86.25,86.25,1.0,0,-225.34652714186976
156,31.25,-86.25,86.25,1.0,0,-225.3361194107792
157,33.75,-86.25,86.25,1.0,0,-225.71174527631166
158,36.25,-86.25,86.25,1.0,0,-226.07131059203195
159,38.75,-86.25,86.25,1.0,0,-226.27451436204223
160,41.25,-86.25,86.25,1.0,0,-226.81599274862583
161,43.75,-86.25,86.25,1.0,0,-227.33315579685006
162,46.25,-86.25,86.25,1.0,0,-227.97802115029106
163,48.75,-86.25,86.25,1.0,0,-229.26391221687436
164,51.25,-86.25,86.25,1.0,0,-229.8025496116965
165,53.75,-86.25,86.25,1.0,0,-231.87473021521964
166,56.25,-86.25,86.25,1.0,0,-234.8289669859207
167,58.75,-86.25,86.25,1.0,0,-235.52353040041933
168,61.25,-86.25,86.25,1.0,0,-236.34329988882362
169,63.75,-86.25,86.25,1.0,0,-236.27963964987995
170,66.25,-86.25,86.25,1.0,0,-236.74471275185653
171,68.75,-86.25,86.25,1.0,0,-236.7629164187859
172,71.25,-86.25,86.25,1.0,0,-237.6692151882508
173,73.75,-86.25,86.25,1.0,0,-238.49992382853245
174,76.25,-86.25,86.25,1.0,0,-239.0677693489417
175,78.75,-86.25,86.25,1.0,0,-240.2904795976282
176,81.25,-86.25,86.25,1.0,0,-239.9624033263486
177,83.75,-86.25,86.25,1.0,0,-239.7388035543375
178,86.25,-86.25,86.25,1.0,0,-238.56361065097437
179,88.75,-86.25,86.25,1.0,0,-236.98524729918086
180,91.25,-86.25,86.25,1.0,0,-236.08388894067033
181,93.75,-86.25,86.25,1.0,0,-235.49495284472385
182,96.25,-86.25,86.25,1.0,0,-235.06835540078058
183,98.75,-86.25,86.25,1.0,0,-234.34503198513113
