grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend_forced
0,1.25,-88.75,88.75,1.0,0,1.1267500777695898
1,3.75,-88.75,88.75,1.0,0,1.1269243803171727
2,6.25,-88.75,88.75,1.0,0,1.127152580124152
3,8.75,-88.75,88.75,1.0,0,1.1274119421033597
4,11.25,-88.75,88.75,1.0,0,1.1277038055915432
5,13.75,-88.75,88.75,1.0,0,1.1279307747738652
6,16.25,-88.75,88.75,1.0,0,1.1282314823037554
7,18.75,-88.75,88.75,1.0,0,1.1284613959791792
8,21.25,-88.75,88.75,1.0,0,1.128792441557442
9,23.75,-88.75,88.75,1.0,0,1.12905699574323
10,26.25,-88.75,88.75,1.0,0,1.1292443768343747
11,28.75,-88.75,88.75,1.0,0,1.129543549536908
12,31.25,-88.75,88.75,1.0,0,1.1298941329884504
13,33.75,-88.75,88.75,1.0,0,1.1302649077685942
14,36.25,-88.75,88.75,1.0,0,1.1305968772854917
15,38.75,-88.75,88.75,1.0,0,1.13089940442572
16,41.25,-88.75,88.75,1.0,0,1.1314231008739786
17,43.75,-88.75,88.75,1.0,0,1.1320843250598993
18,46.25,-88.75,88.75,1.0,0,1.132774549787425
19,48.75,-88.75,88.75,1.0,0,1.1337939733180753
20,51.25,-88.75,88.75,1.0,0,1.1349287952603022
21,53.75,-88.75,88.75,1.0,0,1.1360783098403944
22,56.25,-88.75,88.75,1.0,0,1.137364328293094
23,58.75,-88.75,88.75,1.0,0,1.1386208335884398
24,61.25,-88.75,88.75,1.0,0,1.1395998119580022
25,63.75,-88.75,88.75,1.0,0,1.1405939865887453
26,66.25,-88.75,88.75,1.0,0,1.1414201711043592
27,68.75,-88.75,88.75,1.0,0,1.141990461773739
28,71.25,-88.75,88.75,1.0,0,1.1423895443918726
29,73.75,-88.75,88.75,1.0,0,1.142571337938753
30,76.25,-88.75,88.75,1.0,0,1.1422890757134574
31,78.75,-88.75,88.75,1.0,0,1.1414340588818588
32,81.25,-88.75,88.75,1.0,0,1.1398228863212176
33,83.75,-88.75,88.75,1.0,0,1.137870436710334
34,86.25,-88.75,88.75,1.0,0,1.1351334765771341
35,88.75,-88.75,88.75,1.0,0,1.1317823640587856
36,91.25,-88.75,88.75,1.0,0,1.1282053175665911
37,93.75,-88.75,88.75,1.0,0,1.1236627891988458
38,96.25,-88.75,88.75,1.0,0,1.1184390723947661
39,98.75,-88.75,88.75,1.0,0,1.1130817364000078
40,101.25,-88.75,88.75,1.0,0,1.1063633249678266
41,103.75,-88.75,88.75,1.0,0,1.0989197169523601
42,106.25,-88.75,88.75,1.0,0,1.091483935122401
43,108.75,-88.75,88.75,1.0,0,1.0825792892104407
44,111.25,-88.75,88.75,1.0,0,1.072936057543316
45,113.75,-88.75,88.75,1.0,0,1.06360707287256
46,116.25,-88.75,88.75,1.0,0,1.0525439966821162
47,118.75,-88.75,88.75,1.0,0,1.0405527535682326
48,121.25,-88.75,88.75,1.0,0,1.0292062286009436
49,123.75,-88.75,88.75,1.0,0,1.0168774333044228
50,126.25,-88.75,88.75,1.0,0,1.0052021479885487
51,128.75,-88.75,88.75,1.0,0,0.995536407875565
52,131.25,-88.75,88.75,1.0,0,0.9862322327752774
53,133.75,-88.75,88.75,1.0,0,0.9781811147246721
54,136.25,-88.75,88.75,1.0,0,0.9717266247114157
55,138.75,-88.75,88.75,1.0,0,0.9655500085352227
56,141.25,-88.75,88.75,1.0,0,0.9600981422153559
