grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.7884771867829162
1,3.75,-88.75,88.75,1.0,0,0.7887374706998811
2,6.25,-88.75,88.75,1.0,0,0.7889791066925935
3,8.75,-88.75,88.75,1.0,0,0.7891753850126008
4,11.25,-88.75,88.75,1.0,0,0.7892673190254236
5,13.75,-88.75,88.75,1.0,0,0.7892560235114968
6,16.25,-88.75,88.75,1.0,0,0.7891553572324927
7,18.75,-88.75,88.75,1.0,0,0.789003890871345
8,21.25,-88.75,88.75,1.0,0,0.7888045370780016
9,23.75,-88.75,88.75,1.0,0,0.7885515053364738
10,26.25,-88.75,88.75,1.0,0,0.7882161858113582
11,28.75,-88.75,88.75,1.0,0,0.7877537281289567
12,31.25,-88.75,88.75,1.0,0,0.7873180005914256
13,33.75,-88.75,88.75,1.0,0,0.7869928144633159
14,36.25,-88.75,88.75,1.0,0,0.7869257452809999
15,38.75,-88.75,88.75,1.0,0,0.7867356033623734
16,41.25,-88.75,88.75,1.0,0,0.7866940897687495
17,43.75,-88.75,88.75,1.0,0,0.786936480168692
18,46.25,-88.75,88.75,1.0,0,0.7872337172568548
19,48.75,-88.75,88.75,1.0,0,0.7876587870930037
20,51.25,-88.75,88.75,1.0,0,0.7882530892109971
21,53.75,-88.75,88.75,1.0,0,0.7890198372046493
22,56.25,-88.75,88.75,1.0,0,0.790044399061681
23,58.75,-88.75,88.75,1.0,0,0.7912235807192922
24,61.25,-88.75,88.75,1.0,0,0.7923993523980091
25,63.75,-88.75,88.75,1.0,0,0.7937523961574513
26,66.25,-88.75,88.75,1.0,0,0.7950829181036894
27,68.75,-88.75,88.75,1.0,0,0.7964712506466378
28,71.25,-88.75,88.75,1.0,0,0.797820355728398
29,73.75,-88.75,88.75,1.0,0,0.7993409741786773
30,76.25,-88.75,88.75,1.0,0,0.8006108529487799
31,78.75,-88.75,88.75,1.0,0,0.8016399172153683
32,81.25,-88.75,88.75,1.0,0,0.8025625385928432
33,83.75,-88.75,88.75,1.0,0,0.8033226721414634
34,86.25,-88.75,88.75,1.0,0,0.8036719686595346
35,88.75,-88.75,88.75,1.0,0,0.8035415959837641
36,91.25,-88.75,88.75,1.0,0,0.8030817837961295
37,93.75,-88.75,88.75,1.0,0,0.8022102173709998
38,96.25,-88.75,88.75,1.0,0,0.8006808159708886
39,98.75,-88.75,88.75,1.0,0,0.798809806397238
40,101.25,-88.75,88.75,1.0,0,0.7966691763816248
41,103.75,-88.75,88.75,1.0,0,0.7941039298711111
42,106.25,-88.75,88.75,1.0,0,0.7910908766945424
43,108.75,-88.75,88.75,1.0,0,0.7877534811182949
44,111.25,-88.75,88.75,1.0,0,0.7842766644906989
45,113.75,-88.75,88.75,1.0,0,0.7804827857376946
46,116.25,-88.75,88.75,1.0,0,0.7766112637486146
47,118.75,-88.75,88.75,1.0,0,0.7724219149583004
48,121.25,-88.75,88.75,1.0,0,0.7683088231984145
49,123.75,-88.75,88.75,1.0,0,0.7642452891156422
50,126.25,-88.75,88.75,1.0,0,0.7602953617394552
51,128.75,-88.75,88.75,1.0,0,0.7561566759517991
52,131.25,-88.75,88.75,1.0,0,0.7518018421302632
53,133.75,-88.75,88.75,1.0,0,0.7477544214896201
54,136.25,-88.75,88.75,1.0,0,0.7438041076388014
55,138.75,-88.75,88.75,1.0,0,0.739842956470262
56,141.25,-88.75,88.75,1.0,0,0.7358366929628939
57,143.75,-88.75,88.75,1.0,0,0.7321514212765345
58,146.25,-88.75,88.75,1.0,0,0.7285663405408819
59,148.75,-88.75,88.75,1.0,0,0.7250722845407886
60,151.25,-88.75,88.75,1.0,0,0.7216075929502248
61,153.75,-88.75,88.75,1.0,0,0.7181330590019739
62,156.25,-88.75,88.75,1.0,0,0.7150026279408993
63,158.75,-88.75,88.75,1.0,0,0.7120320555735231
64,161.25,-88.75,88.75,1.0,0,0.7091730950280553
65,163.75,-88.75,88.75,1.0,0,0.7062855040723518
66,166.25,-88.75,88.75,1.0,0,0.703377133040661
67,168.75,-88.75,88.75,1.0,0,0.7004339905015432
68,171.25,-88.75,88.75,1.0,0,0.6975008758194674
69,173.75,-88.75,88.75,1.0,0,0.6945474635008707
70,176.25,-88.75,88.75,1.0,0,0.6915523755916206
71,178.75,-88.75,88.75,1.0,0,0.6859133444019153
72,181.25,-88.75,88.75,1.0,0,0.6824578615461512
73,183.75,-88.75,88.75,1.0,0,0.6799843339180026
74,186.25,-88.75,88.75,1.0,0,0.6742387824383216
75,188.75,-88.75,88.75,1.0,0,0.6698700801494143
76,191.25,-88.75,88.75,1.0,0,0.666624541230419
77,193.75,-88.75,88.75,1.0,0,0.6639792139674964
78,196.25,-88.75,88.75,1.0,0,0.6618480576290354
79,198.75,-88.75,88.75,1.0,0,0.6602843057046661
80,201.25,-88.75,88.75,1.0,0,0.6587049644789948
81,203.75,-88.75,88.75,1.0,0,0.6574099082444175
82,206.25,-88.75,88.75,1.0,0,0.6565225231131175
83,208.75,-88.75,88.75,1.0,0,0.6561360419317401
84,211.25,-88.75,88.75,1.0,0,0.6562843594232218
85,213.75,-88.75,88.75,1.0,0,0.6569802351516563
86,216.25,-88.75,88.75,1.0,0,0.6585832559408434
87,218.75,-88.75,88.75,1.0,0,0.6607721289647398
88,221.25,-88.75,88.75,1.0,0,0.6626596954000612
89,223.75,-88.75,88.75,1.0,0,0.6639288769945704
90,226.25,-88.75,88.75,1.0,0,0.6657376892189814
91,228.75,-88.75,88.75,1.0,0,0.6682062393124646
92,231.25,-88.75,88.75,1.0,0,0.671194851228303
93,233.75,-88.75,88.75,1.0,0,0.6744692144121791
94,236.25,-88.75,88.75,1.0,0,0.6781122751564416
95,238.75,-88.75,88.75,1.0,0,0.6821301022062691
96,241.25,-88.75,88.75,1.0,0,0.6865119215094431
97,243.75,-88.75,88.75,1.0,0,0.6914545327764637
98,246.25,-88.75,88.75,1.0,0,0.696158943876588
99,248.75,-88.75,88.75,1.0,0,0.7007520939329549
100,251.25,-88.75,88.75,1.0,0,0.7051195118025422
101,253.75,-88.75,88.75,1.0,0,0.7093585029839352
102,256.25,-88.75,88.75,1.0,0,0.7134838909338619
103,258.75,-88.75,88.75,1.0,0,0.7175318495105404
104,261.25,-88.75,88.75,1.0,0,0.7212859293988831
105,263.75,-88.75,88.75,1.0,0,0.7249719325592774
106,266.25,-88.75,88.75,1.0,0,0.7287806033842302
107,268.75,-88.75,88.75,1.0,0,0.7323650274018014
108,271.25,-88.75,88.75,1.0,0,0.7358324321023318
109,273.75,-88.75,88.75,1.0,0,0.7390236941888747
110,276.25,-88.75,88.75,1.0,0,0.7422335663723464
111,278.75,-88.75,88.75,1.0,0,0.7450998376676394
112,281.25,-88.75,88.75,1.0,0,0.7476914828469986
113,283.75,-88.75,88.75,1.0,0,0.7501268321862442
114,286.25,-88.75,88.75,1.0,0,0.7524937174885323
115,288.75,-88.75,88.75,1.0,0,0.7548314198323088
116,291.25,-88.75,88.75,1.0,0,0.7568739732258891
117,293.75,-88.75,88.75,1.0,0,0.7588619317321544
118,296.25,-88.75,88.75,1.0,0,0.7606921152915275
119,298.75,-88.75,88.75,1.0,0,0.7625781901648475
120,301.25,-88.75,88.75,1.0,0,0.7643957329238482
121,303.75,-88.75,88.75,1.0,0,0.7660881318318726
122,306.25,-88.75,88.75,1.0,0,0.767726423853715
123,308.75,-88.75,88.75,1.0,0,0.7693436410006269
124,311.25,-88.75,88.75,1.0,0,0.7710284217502601
125,313.75,-88.75,88.75,1.0,0,0.7724302875854864
126,316.25,-88.75,88.75,1.0,0,0.7737244043669498
127,318.75,-88.75,88.75,1.0,0,0.7749537522962728
128,321.25,-88.75,88.75,1.0,0,0.7762491169070617
129,323.75,-88.75,88.75,1.0,0,0.7774910577552714
130,326.25,-88.75,88.75,1.0,0,0.7784666283544511
131,328.75,-88.75,88.75,1.0,0,0.7793496483712044
132,331.25,-88.75,88.75,1.0,0,0.7802781446172876
133,333.75,-88.75,88.75,1.0,0,0.7812246419188781
134,336.25,-88.75,88.75,1.0,0,0.7820236862437285
135,338.75,-88.75,88.75,1.0,0,0.782849129307707
136,341.25,-88.75,88.75,1.0,0,0.7837148910333633
137,343.75,-88.75,88.75,1.0,0,0.7845568215060723
138,346.25,-88.75,88.75,1.0,0,0.78526215407252
139,348.75,-88.75,88.75,1.0,0,0.7858758625791342
140,351.25,-88.75,88.75,1.0,0,0.7865341442903276
141,353.75,-88.75,88.75,1.0,0,0.7871657318774499
142,356.25,-88.75,88.75,1.0,0,0.7877076582429711
143,358.75,-88.75,88.75,1.0,0,0.7881604636859999
144,1.25,-86.25,86.25,1.0,0,0.7396786044785979
145,3.75,-86.25,86.25,1.0,0,0.7446218248334859
146,6.25,-86.25,86.25,1.0,0,0.7496426954251698
147,8.75,-86.25,86.25,1.0,0,0.7542512676823223
148,11.25,-86.25,86.25,1.0,0,0.7586718731118358
