grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend_forced
0,201.25,-78.75,78.75,0.0,4,0.09100560117969474
1,163.75,-76.25,76.25,0.0,4,0.05583036169633827
2,166.25,-76.25,76.25,0.0,4,0.05404238210013959
3,168.75,-76.25,76.25,0.0,4,0.05731738778774088
4,171.25,-76.25,76.25,0.0,4,0.04831465758463146
5,173.75,-76.25,76.25,0.0,4,0.02903540804092263
6,176.25,-76.25,76.25,0.0,4,0.02036487499742627
7,178.75,-76.25,76.25,0.0,4,0.0061485004630204175
8,181.25,-76.25,76.25,0.0,4,0.0012280163866454708
9,183.75,-76.25,76.25,0.0,4,0.031107073248978823
10,186.25,-76.25,76.25,0.0,4,0.05215721930739445
11,188.75,-76.25,76.25,0.0,4,0.0697698263930697
12,191.25,-76.25,76.25,0.0,4,0.07598387708705456
13,193.75,-76.25,76.25,0.0,4,0.07649466672734744
14,196.25,-76.25,76.25,0.0,4,0.07424951640705257
15,198.75,-76.25,76.25,0.0,4,0.07328490418407524
16,201.25,-76.25,76.25,0.0,4,0.06881780951134443
17,203.75,-76.25,76.25,0.0,4,0.06503290544448133
18,206.25,-76.25,76.25,0.0,4,0.04959504717105085
19,208.75,-76.25,76.25,0.0,4,0.04788037702389504
20,211.25,-76.25,76.25,0.0,4,0.05678841572150243
21,213.75,-76.25,76.25,0.0,4,0.05616966320863108
22,296.25,-76.25,76.25,0.0,4,0.020822716349198966
23,298.75,-76.25,76.25,0.0,4,0.021081508619331838
24,301.25,-76.25,76.25,0.0,4,0.019993173727842036
25,303.75,-76.25,76.25,0.0,4,0.01826992480379715
26,306.25,-76.25,76.25,0.0,4,0.0302925441159784
27,308.75,-76.25,76.25,0.0,4,0.04691458416848546
28,311.25,-76.25,76.25,0.0,4,0.05914450012612677
29,313.75,-76.25,76.25,0.0,4,0.07370210787569616
30,316.25,-76.25,76.25,0.0,4,0.09486058977728269
31,318.75,-76.25,76.25,0.0,4,0.099223837464124
32,321.25,-76.25,76.25,0.0,4,0.10618421863291681
33,323.75,-76.25,76.25,0.0,4,0.11510870422263807
34,326.25,-76.25,76.25,0.0,4,0.12923207511030108
35,328.75,-76.25,76.25,0.0,4,0.16107520582916005
36,331.25,-76.25,76.25,0.0,4,0.1624494290291
37,333.75,-76.25,76.25,0.0,4,0.1679448510622451
38,336.25,-76.25,76.25,0.0,4,0.1566765119715527
39,166.25,-73.75,73.75,0.0,4,0.052853441875556705
40,168.75,-73.75,73.75,0.0,4,0.06442232311352904
41,171.25,-73.75,73.75,0.0,4,0.05443528134052776
42,173.75,-73.75,73.75,0.0,4,0.03696409128468031
43,176.25,-73.75,73.75,0.0,4,0.0231466202815696
44,178.75,-73.75,73.75,0.0,4,0.013443964450647999
45,181.25,-73.75,73.75,0.0,4,0.0136729761945245
46,183.75,-73.75,73.75,0.0,4,0.006415232730170088
47,186.25,-73.75,73.75,0.0,4,0.0007384220095421807
48,188.75,-73.75,73.75,0.0,4,-0.008033152915082454
49,191.25,-73.75,73.75,0.0,4,-0.018765994930234307
50,193.75,-73.75,73.75,0.0,4,-0.04063221384913359
51,196.25,-73.75,73.75,0.0,4,-0.04973151663983043
52,198.75,-73.75,73.75,0.0,4,-0.06256861631541318
