grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend_forced
0,163.75,-76.25,76.25,0.0,4,0.09495958986549975
1,166.25,-76.25,76.25,0.0,4,0.10473696847065456
2,168.75,-76.25,76.25,0.0,4,0.10292102543701358
3,171.25,-76.25,76.25,0.0,4,0.1066869951818802
4,173.75,-76.25,76.25,0.0,4,0.0891692699021754
5,176.25,-76.25,76.25,0.0,4,0.0781659217729826
6,178.75,-76.25,76.25,0.0,4,0.07896460210317016
7,181.25,-76.25,76.25,0.0,4,0.07060004127609129
8,183.75,-76.25,76.25,0.0,4,0.05032601042233033
9,186.25,-76.25,76.25,0.0,4,0.05139417238774364
10,188.75,-76.25,76.25,0.0,4,0.0589275740891462
11,191.25,-76.25,76.25,0.0,4,0.06608123699367409
12,193.75,-76.25,76.25,0.0,4,0.07423085969517643
13,196.25,-76.25,76.25,0.0,4,0.0687163393840473
14,198.75,-76.25,76.25,0.0,4,0.05174811787770086
15,201.25,-76.25,76.25,0.0,4,0.04167413607720496
16,203.75,-76.25,76.25,0.0,4,0.04605874840244487
17,206.25,-76.25,76.25,0.0,4,0.05862273388853877
18,208.75,-76.25,76.25,0.0,4,0.06623842193397628
19,211.25,-76.25,76.25,0.0,4,0.06967339127330972
20,213.75,-76.25,76.25,0.0,4,0.07318716655656388
21,303.75,-76.25,76.25,0.0,4,0.024728111232507913
22,306.25,-76.25,76.25,0.0,4,0.017108802326757006
23,308.75,-76.25,76.25,0.0,4,0.011749103238863662
24,311.25,-76.25,76.25,0.0,4,0.01087410053808706
25,313.75,-76.25,76.25,0.0,4,0.01200031104011165
26,316.25,-76.25,76.25,0.0,4,0.01295365271739582
27,318.75,-76.25,76.25,0.0,4,0.015691247533895614
28,321.25,-76.25,76.25,0.0,4,0.020571758315959178
29,323.75,-76.25,76.25,0.0,4,0.0327081629997399
30,326.25,-76.25,76.25,0.0,4,0.04666640269065045
31,328.75,-76.25,76.25,0.0,4,0.05318926353923479
32,331.25,-76.25,76.25,0.0,4,0.05120038363700911
33,166.25,-73.75,73.75,0.0,4,0.006117930182108939
34,168.75,-73.75,73.75,0.0,4,0.005059825563479105
35,171.25,-73.75,73.75,0.0,4,0.011769842754801536
36,173.75,-73.75,73.75,0.0,4,0.022602571083310756
37,176.25,-73.75,73.75,0.0,4,0.020450362312600737
38,178.75,-73.75,73.75,0.0,4,0.0154156388244798
39,181.25,-73.75,73.75,0.0,4,0.013805495722017606
40,183.75,-73.75,73.75,0.0,4,0.012050462386110888
41,186.25,-73.75,73.75,0.0,4,0.01347537977868084
42,188.75,-73.75,73.75,0.0,4,0.02238300511365734
43,191.25,-73.75,73.75,0.0,4,0.03297212679640058
44,193.75,-73.75,73.75,0.0,4,0.03658218543506302
45,196.25,-73.75,73.75,0.0,4,0.038962299991555926
46,198.75,-73.75,73.75,0.0,4,0.04465684628567541
47,201.25,-73.75,73.75,0.0,4,0.04778124257695854
48,203.75,-73.75,73.75,0.0,4,0.047892761932794035
49,206.25,-73.75,73.75,0.0,4,0.04764269966541723
50,208.75,-73.75,73.75,0.0,4,0.04922995585230799
51,211.25,-73.75,73.75,0.0,4,0.05538279224214103
52,213.75,-73.75,73.75,0.0,4,0.06762090951038094
53,216.25,-73.75,73.75,0.0,4,0.08077902160792264
54,218.75,-73.75,73.75,0.0,4,0.09334188691044909
55,221.25,-73.75,73.75,0.0,4,0.10302432776298981
56,223.75,-73.75,73.75,0.0,4,0.11154856577808317
57,226.25,-73.75,73.75,0.0,4,0.10905120600901833
58,228.75,-73.75,73.75,0.0,4,0.10352326612566155
59,231.25,-73.75,73.75,0.0,4,0.09911558138175383
60,233.75,-73.75,73.75,0.0,4,0.09925156233322226
61,236.25,-73.75,73.75,0.0,4,0.1021573492909422
62,238.75,-73.75,73.75,0.0,4,0.07656977274241428
63,241.25,-73.75,73.75,0.0,4,0.07257565056348614
64,243.75,-73.75,73.75,0.0,4,0.0615254855465994
65,246.25,-73.75,73.75,0.0,4,0.0688037133839117
66,248.75,-73.75,73.75,0.0,4,0.07272119663811699
67,251.25,-73.75,73.75,0.0,4,0.09203725832440537
68,253.75,-73.75,73.75,0.0,4,0.04940282315051828
69,256.25,-73.75,73.75,0.0,4,0.024061236574569083
70,298.75,-73.75,73.75,0.0,4,0.014878251592795318
71,301.25,-73.75,73.75,0.0,4,0.01256722820560844
72,303.75,-73.75,73.75,0.0,4,0.009796743529804045
73,306.25,-73.75,73.75,0.0,4,0.008065424592696387
74,308.75,-73.75,73.75,0.0,4,0.01300413919193898
75,311.25,-73.75,73.75,0.0,4,0.026106699738749423
76,313.75,-73.75,73.75,0.0,4,0.04796896972255317
77,316.25,-73.75,73.75,0.0,4,0.061829006102204195
78,318.75,-73.75,73.75,0.0,4,0.0676139110734224
79,321.25,-73.75,73.75,0.0,4,0.07195966416307344
80,323.75,-73.75,73.75,0.0,4,0.06958584095755802
81,326.25,-73.75,73.75,0.0,4,0.06420797132187242
82,328.75,-73.75,73.75,0.0,4,0.059762926774183586
83,331.25,-73.75,73.75,0.0,4,0.0541042618352284
84,333.75,-73.75,73.75,0.0,4,0.04071641493604722
85,336.25,-73.75,73.75,0.0,4,0.020888572754070526
86,338.75,-73.75,73.75,0.0,4,0.005604717628650266
