grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend_forced
0,193.75,-78.75,78.75,0.0,0,0.0972619278597338
1,196.25,-78.75,78.75,0.0,0,0.10849063735844541
2,163.75,-76.25,76.25,0.0,4,0.037690969640101185
3,166.25,-76.25,76.25,0.0,4,0.07563137230317855
4,168.75,-76.25,76.25,0.0,4,0.07100450360419662
5,171.25,-76.25,76.25,0.0,4,0.03536979547226783
6,173.75,-76.25,76.25,0.0,4,0.02257841599219959
7,176.25,-76.25,76.25,0.0,4,-0.021222567217210286
8,178.75,-76.25,76.25,0.0,4,-0.0243155268473772
9,181.25,-76.25,76.25,0.0,4,0.005307085869069196
10,183.75,-76.25,76.25,0.0,4,0.016069900834287117
11,186.25,-76.25,76.25,0.0,4,0.0021803659181153867
12,188.75,-76.25,76.25,0.0,4,0.002822522915919007
13,191.25,-76.25,76.25,0.0,4,0.0032692311052898724
14,193.75,-76.25,76.25,0.0,4,0.007143619656998964
15,196.25,-76.25,76.25,0.0,4,0.013652513411071248
16,198.75,-76.25,76.25,0.0,4,0.018608239328695687
17,201.25,-76.25,76.25,0.0,4,0.028765168736037593
18,203.75,-76.25,76.25,0.0,4,0.04590151613784276
19,206.25,-76.25,76.25,0.0,4,0.06741224510272559
20,208.75,-76.25,76.25,0.0,4,0.0938794735901439
21,211.25,-76.25,76.25,0.0,4,0.1022243905392676
22,306.25,-76.25,76.25,0.0,4,0.07077086836163146
23,308.75,-76.25,76.25,0.0,4,0.06356711998151672
24,311.25,-76.25,76.25,0.0,4,0.04662445589625532
25,313.75,-76.25,76.25,0.0,4,0.05130781454861037
26,316.25,-76.25,76.25,0.0,4,0.07070300943960649
27,318.75,-76.25,76.25,0.0,4,0.09050038685938608
28,321.25,-76.25,76.25,0.0,4,0.12430853075528528
29,323.75,-76.25,76.25,0.0,4,0.1354519126264319
30,326.25,-76.25,76.25,0.0,4,0.13465565599727217
31,328.75,-76.25,76.25,0.0,4,0.13847080848156906
32,331.25,-76.25,76.25,0.0,4,0.13262408817272042
33,166.25,-73.75,73.75,0.0,4,0.12218260520034734
34,168.75,-73.75,73.75,0.0,4,0.139543740374505
35,171.25,-73.75,73.75,0.0,4,0.09962502075413349
36,173.75,-73.75,73.75,0.0,4,0.06594471571365314
37,176.25,-73.75,73.75,0.0,4,0.03133602684741003
38,178.75,-73.75,73.75,0.0,4,0.02302306101133349
39,181.25,-73.75,73.75,0.0,4,0.031741893907247284
40,183.75,-73.75,73.75,0.0,4,0.02996949571616358
41,186.25,-73.75,73.75,0.0,4,0.02224306980946288
42,188.75,-73.75,73.75,0.0,4,0.024816392155824714
43,191.25,-73.75,73.75,0.0,4,0.0290273268311494
44,193.75,-73.75,73.75,0.0,4,0.029571408100384944
45,196.25,-73.75,73.75,0.0,4,0.03076751256583753
46,198.75,-73.75,73.75,0.0,4,0.03954953522148112
