grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,0.036284094245833926,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
1,3.75,-88.75,88.75,1.0,0,0.03541058678544087,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
2,6.25,-88.75,88.75,1.0,0,0.03427377495655545,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
3,8.75,-88.75,88.75,1.0,0,0.032613503597771036,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
4,11.25,-88.75,88.75,1.0,0,0.031108919218711846,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
5,13.75,-88.75,88.75,1.0,0,0.030043506167806384,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
6,16.25,-88.75,88.75,1.0,0,0.029159705688444316,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
7,18.75,-88.75,88.75,1.0,0,0.02800737860737181,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
8,21.25,-88.75,88.75,1.0,0,0.026802999901005087,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
9,23.75,-88.75,88.75,1.0,0,0.02549208138385908,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
10,26.25,-88.75,88.75,1.0,0,0.023933878970088994,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
11,28.75,-88.75,88.75,1.0,0,0.022184006461148143,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
12,31.25,-88.75,88.75,1.0,0,0.020595864347454716,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
13,33.75,-88.75,88.75,1.0,0,0.019233028827962018,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
14,36.25,-88.75,88.75,1.0,0,0.01781598022687767,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
15,38.75,-88.75,88.75,1.0,0,0.01688374232985103,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
16,41.25,-88.75,88.75,1.0,0,0.016560195477141854,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
17,43.75,-88.75,88.75,1.0,0,0.016136954447325987,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
18,46.25,-88.75,88.75,1.0,0,0.01571067762137062,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
19,48.75,-88.75,88.75,1.0,0,0.015418298046123338,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
20,51.25,-88.75,88.75,1.0,0,0.015266861440224776,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
21,53.75,-88.75,88.75,1.0,0,0.015617317685919294,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
22,56.25,-88.75,88.75,1.0,0,0.015244260041811356,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
23,58.75,-88.75,88.75,1.0,0,0.015201394351382038,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
24,61.25,-88.75,88.75,1.0,0,0.015284397190526872,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
25,63.75,-88.75,88.75,1.0,0,0.014890202241722602,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
26,66.25,-88.75,88.75,1.0,0,0.015245502950516566,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
27,68.75,-88.75,88.75,1.0,0,0.015648046573676622,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
28,71.25,-88.75,88.75,1.0,0,0.015732705086450496,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
29,73.75,-88.75,88.75,1.0,0,0.015975832820454762,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
30,76.25,-88.75,88.75,1.0,0,0.015929996235820358,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
31,78.75,-88.75,88.75,1.0,0,0.015172728359406699,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
32,81.25,-88.75,88.75,1.0,0,0.01572709175617253,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
33,83.75,-88.75,88.75,1.0,0,0.01533638830626052,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
34,86.25,-88.75,88.75,1.0,0,0.015336654790382175,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
35,88.75,-88.75,88.75,1.0,0,0.014885161466881396,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
36,91.25,-88.75,88.75,1.0,0,0.014534019421969286,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
37,93.75,-88.75,88.75,1.0,0,0.014431001439753444,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
38,96.25,-88.75,88.75,1.0,0,0.013993498546934163,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
39,98.75,-88.75,88.75,1.0,0,0.013516663356044395,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
40,101.25,-88.75,88.75,1.0,0,0.013744482830809776,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
41,103.75,-88.75,88.75,1.0,0,0.013025955996811623,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
42,106.25,-88.75,88.75,1.0,0,0.012435300005713664,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
43,108.75,-88.75,88.75,1.0,0,0.012083941940507017,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
44,111.25,-88.75,88.75,1.0,0,0.011644456317971334,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
45,113.75,-88.75,88.75,1.0,0,0.011360612509630314,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
46,116.25,-88.75,88.75,1.0,0,0.011462301432827508,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
