grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,0.011468888074816426,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
1,3.75,-88.75,88.75,1.0,0,0.011491496813869139,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
2,6.25,-88.75,88.75,1.0,0,0.011514341339642629,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
3,8.75,-88.75,88.75,1.0,0,0.011537425005938833,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
4,11.25,-88.75,88.75,1.0,0,0.01156247909976291,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
5,13.75,-88.75,88.75,1.0,0,0.011594186733873264,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
6,16.25,-88.75,88.75,1.0,0,0.01162806421416863,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
7,18.75,-88.75,88.75,1.0,0,0.01170906827424542,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
8,21.25,-88.75,88.75,1.0,0,0.011802823711850013,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
9,23.75,-88.75,88.75,1.0,0,0.01189919185517421,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
10,26.25,-88.75,88.75,1.0,0,0.011996573397004866,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
11,28.75,-88.75,88.75,1.0,0,0.012096921439888459,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
12,31.25,-88.75,88.75,1.0,0,0.012200384755898755,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
13,33.75,-88.75,88.75,1.0,0,0.012313094334894284,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
14,36.25,-88.75,88.75,1.0,0,0.012308059807543403,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
15,38.75,-88.75,88.75,1.0,0,0.012190843436816956,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
16,41.25,-88.75,88.75,1.0,0,0.012083322587390978,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
17,43.75,-88.75,88.75,1.0,0,0.011979032422572984,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
18,46.25,-88.75,88.75,1.0,0,0.011866752987362691,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
19,48.75,-88.75,88.75,1.0,0,0.01159595343552826,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
20,51.25,-88.75,88.75,1.0,0,0.011289724104591134,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
21,53.75,-88.75,88.75,1.0,0,0.010920891811847638,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
22,56.25,-88.75,88.75,1.0,0,0.010256895111553269,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
23,58.75,-88.75,88.75,1.0,0,0.009528713270122932,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
24,61.25,-88.75,88.75,1.0,0,0.009353596968248647,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
25,63.75,-88.75,88.75,1.0,0,0.009327907618929805,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
26,66.25,-88.75,88.75,1.0,0,0.009302481645769134,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
27,68.75,-88.75,88.75,1.0,0,0.009277320595929932,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
28,71.25,-88.75,88.75,1.0,0,0.009252423693682059,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
29,73.75,-88.75,88.75,1.0,0,0.009227791223667984,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
30,76.25,-88.75,88.75,1.0,0,0.00920342382562728,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
31,78.75,-88.75,88.75,1.0,0,0.009179322376175018,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
32,81.25,-88.75,88.75,1.0,0,0.007784987489054983,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
33,83.75,-88.75,88.75,1.0,0,0.00776573939727483,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
34,86.25,-88.75,88.75,1.0,0,0.007746282262580556,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
35,88.75,-88.75,88.75,1.0,0,0.007726611432037056,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
36,91.25,-88.75,88.75,1.0,0,0.007706731130554974,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
37,93.75,-88.75,88.75,1.0,0,0.007686638332127275,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
38,96.25,-88.75,88.75,1.0,0,0.00766633509881411,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
