grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,0.0119048334477318,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
1,3.75,-88.75,88.75,1.0,0,0.01195744678720252,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
2,6.25,-88.75,88.75,1.0,0,0.012049084149731581,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
3,8.75,-88.75,88.75,1.0,0,0.012109143444062016,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
4,11.25,-88.75,88.75,1.0,0,0.012158286201429414,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
5,13.75,-88.75,88.75,1.0,0,0.012119560153041586,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
6,16.25,-88.75,88.75,1.0,0,0.011873111345706316,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
7,18.75,-88.75,88.75,1.0,0,0.011709622450011154,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
8,21.25,-88.75,88.75,1.0,0,0.011862769271347804,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
9,23.75,-88.75,88.75,1.0,0,0.012050228822601802,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
10,26.25,-88.75,88.75,1.0,0,0.012125520251073886,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
11,28.75,-88.75,88.75,1.0,0,0.012190728639691934,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
12,31.25,-88.75,88.75,1.0,0,0.012273876910810316,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
13,33.75,-88.75,88.75,1.0,0,0.01230277273941462,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
14,36.25,-88.75,88.75,1.0,0,0.012235035650567924,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
15,38.75,-88.75,88.75,1.0,0,0.012025774319037267,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
16,41.25,-88.75,88.75,1.0,0,0.011825854687771907,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
17,43.75,-88.75,88.75,1.0,0,0.011801367499369308,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
18,46.25,-88.75,88.75,1.0,0,0.012015154672683557,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
19,48.75,-88.75,88.75,1.0,0,0.012411671723380546,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
20,51.25,-88.75,88.75,1.0,0,0.01284268985124717,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
21,53.75,-88.75,88.75,1.0,0,0.013266528093458223,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
22,56.25,-88.75,88.75,1.0,0,0.01363748212079822,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
23,58.75,-88.75,88.75,1.0,0,0.013846127770913876,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
24,61.25,-88.75,88.75,1.0,0,0.013886462229329152,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
25,63.75,-88.75,88.75,1.0,0,0.013911699771523945,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
26,66.25,-88.75,88.75,1.0,0,0.013858114320156562,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
27,68.75,-88.75,88.75,1.0,0,0.013780788296301076,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
28,71.25,-88.75,88.75,1.0,0,0.013526878856439484,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
29,73.75,-88.75,88.75,1.0,0,0.013094386328535657,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
30,76.25,-88.75,88.75,1.0,0,0.012785029600218096,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
31,78.75,-88.75,88.75,1.0,0,0.01269235575877869,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
32,81.25,-88.75,88.75,1.0,0,0.01278689845387191,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
33,83.75,-88.75,88.75,1.0,0,0.01314731815121946,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
34,86.25,-88.75,88.75,1.0,0,0.013661002894779704,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
35,88.75,-88.75,88.75,1.0,0,0.014036843904815348,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
36,91.25,-88.75,88.75,1.0,0,0.014526174637389097,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
37,93.75,-88.75,88.75,1.0,0,0.015221973903600828,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
38,96.25,-88.75,88.75,1.0,0,0.015772570113454842,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
39,98.75,-88.75,88.75,1.0,0,0.015977773306868667,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
40,101.25,-88.75,88.75,1.0,0,0.016061472010897103,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
41,103.75,-88.75,88.75,1.0,0,0.016217595403324403,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
42,106.25,-88.75,88.75,1.0,0,0.016542544998296434,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
43,108.75,-88.75,88.75,1.0,0,0.017078323432222313,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
44,111.25,-88.75,88.75,1.0,0,0.017780737484825126,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
45,113.75,-88.75,88.75,1.0,0,0.018629566638905474,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
46,116.25,-88.75,88.75,1.0,0,0.019158024590634384,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
47,118.75,-88.75,88.75,1.0,0,0.019192916998873343,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
48,121.25,-88.75,88.75,1.0,0,0.019129627981096322,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
49,123.75,-88.75,88.75,1.0,0,0.01900327411973619,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
50,126.25,-88.75,88.75,1.0,0,0.018956512588483045,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
51,128.75,-88.75,88.75,1.0,0,0.019491711001462932,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
52,131.25,-88.75,88.75,1.0,0,0.02045021879583128,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
53,133.75,-88.75,88.75,1.0,0,0.021103588366994504,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
54,136.25,-88.75,88.75,1.0,0,0.021359857703284565,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
55,138.75,-88.75,88.75,1.0,0,0.021721188457551895,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
56,141.25,-88.75,88.75,1.0,0,0.022201820849966636,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
57,143.75,-88.75,88.75,1.0,0,0.02248867565223632,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
58,146.25,-88.75,88.75,1.0,0,0.022690166230364565,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
59,148.75,-88.75,88.75,1.0,0,0.022920676435028063,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
60,151.25,-88.75,88.75,1.0,0,0.023142141829586904,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
61,153.75,-88.75,88.75,1.0,0,0.023440122832581588,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
62,156.25,-88.75,88.75,1.0,0,0.02390220649118184,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
63,158.75,-88.75,88.75,1.0,0,0.02432781316329834,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
64,161.25,-88.75,88.75,1.0,0,0.024764529204889404,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
65,163.75,-88.75,88.75,1.0,0,0.025367794234400894,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
66,166.25,-88.75,88.75,1.0,0,0.025944455081987398,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
67,168.75,-88.75,88.75,1.0,0,0.026401678097861443,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
68,171.25,-88.75,88.75,1.0,0,0.026664648524226085,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
69,173.75,-88.75,88.75,1.0,0,0.02679407894416948,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
70,176.25,-88.75,88.75,1.0,0,0.02698211846371791,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
71,178.75,-88.75,88.75,1.0,0,0.027310143463517983,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
72,181.25,-88.75,88.75,1.0,0,0.02768077153971797,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
73,183.75,-88.75,88.75,1.0,0,0.02786462659670934,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
74,186.25,-88.75,88.75,1.0,0,0.027938606145172726,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
75,188.75,-88.75,88.75,1.0,0,0.028096184619174836,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
76,191.25,-88.75,88.75,1.0,0,0.028208901186808768,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
77,193.75,-88.75,88.75,1.0,0,0.028341389335635205,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
78,196.25,-88.75,88.75,1.0,0,0.02860664903992664,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
79,198.75,-88.75,88.75,1.0,0,0.02872697629677983,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
80,201.25,-88.75,88.75,1.0,0,0.028699280566367308,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
81,203.75,-88.75,88.75,1.0,0,0.028623839930429627,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
82,206.25,-88.75,88.75,1.0,0,0.028333960751014863,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
83,208.75,-88.75,88.75,1.0,0,0.02809492908462308,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
84,211.25,-88.75,88.75,1.0,0,0.028229940693324372,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
85,213.75,-88.75,88.75,1.0,0,0.028488414044887195,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
86,216.25,-88.75,88.75,1.0,0,0.028632511653195615,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
87,218.75,-88.75,88.75,1.0,0,0.0286120630958256,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
88,221.25,-88.75,88.75,1.0,0,0.028484064060859526,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
89,223.75,-88.75,88.75,1.0,0,0.028234496387120812,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
90,226.25,-88.75,88.75,1.0,0,0.027704799772285262,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
91,228.75,-88.75,88.75,1.0,0,0.02691715853069955,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
92,231.25,-88.75,88.75,1.0,0,0.025814483480493654,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
93,233.75,-88.75,88.75,1.0,0,0.02451832030287126,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
94,236.25,-88.75,88.75,1.0,0,0.023349267551153473,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
95,238.75,-88.75,88.75,1.0,0,0.022916443789430065,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
96,241.25,-88.75,88.75,1.0,0,0.023232122502608785,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
97,243.75,-88.75,88.75,1.0,0,0.023554635751959457,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
98,246.25,-88.75,88.75,1.0,0,0.023544397395396804,1.1324394240217694,1.2,-0.1,0.0,0.0,-3.3364393615023704e-17,-0.012911538502897979,-0.04001174813719289
