grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,pr_trend,GMST_trend,AMV_index,IPO_index,member,pr_trend_forced,row_id,member_id
0,1.25,-88.75,88.75,1.0,0,0.0091986476325639,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0021527733391336,1A_0,0
1,3.75,-88.75,88.75,1.0,0,0.0088807768857039,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0021851796117156,1A_1,0
2,6.25,-88.75,88.75,1.0,0,0.0097093347426762,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0023259049805372,1A_2,0
3,8.75,-88.75,88.75,1.0,0,0.0101199957804922,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0025754494139732,1A_3,0
4,11.25,-88.75,88.75,1.0,0,0.0098127591216551,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0027311315338297,1A_4,0
5,13.75,-88.75,88.75,1.0,0,0.0096911060295662,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0028126282268963,1A_5,0
6,16.25,-88.75,88.75,1.0,0,0.0098615950981984,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0030186260784616,1A_6,0
7,18.75,-88.75,88.75,1.0,0,0.0104065247106206,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0032019273793707,1A_7,0
8,21.25,-88.75,88.75,1.0,0,0.010448522947498,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0034128921981855,1A_8,0
9,23.75,-88.75,88.75,1.0,0,0.0100150335984638,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0035570115767445,1A_9,0
10,26.25,-88.75,88.75,1.0,0,0.0102889268771593,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0038467697070959,1A_10,0
11,28.75,-88.75,88.75,1.0,0,0.0106447541061626,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0041323610350769,1A_11,0
12,31.25,-88.75,88.75,1.0,0,0.0104234326008323,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0042212711795559,1A_12,0
13,33.75,-88.75,88.75,1.0,0,0.0102311657803041,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0044050201571916,1A_13,0
14,36.25,-88.75,88.75,1.0,0,0.0111158129862938,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.004705275611946,1A_14,0
15,38.75,-88.75,88.75,1.0,0,0.011301840064115,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0049025292383442,1A_15,0
16,41.25,-88.75,88.75,1.0,0,0.0109826401850296,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0050625483840824,1A_16,0
17,43.75,-88.75,88.75,1.0,0,0.0112674672654671,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052952209037343,1A_17,0
18,46.25,-88.75,88.75,1.0,0,0.01188443502568,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0055814266158086,1A_18,0
19,48.75,-88.75,88.75,1.0,0,0.0124291860356116,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0057341622528396,1A_19,0
20,51.25,-88.75,88.75,1.0,0,0.0129793375705632,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0057916553033538,1A_20,0
21,53.75,-88.75,88.75,1.0,0,0.0139625897542205,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059507148759991,1A_21,0
22,56.25,-88.75,88.75,1.0,0,0.0142162912901211,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059280560418014,1A_22,0
23,58.75,-88.75,88.75,1.0,0,0.0154488329514595,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059228692860498,1A_23,0
24,61.25,-88.75,88.75,1.0,0,0.0163862424103623,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059645690009384,1A_24,0
25,63.75,-88.75,88.75,1.0,0,0.0165051920663872,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0060071881144166,1A_25,0
26,66.25,-88.75,88.75,1.0,0,0.0165496359529207,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0060491498054387,1A_26,0
27,68.75,-88.75,88.75,1.0,0,0.0172941376136696,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0060986659633006,1A_27,0
28,71.25,-88.75,88.75,1.0,0,0.0181531734987581,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0061538260727883,1A_28,0
29,73.75,-88.75,88.75,1.0,0,0.0190389366595109,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0060989324692216,1A_29,0
30,76.25,-88.75,88.75,1.0,0,0.0193103239076343,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.006106877003806,1A_30,0
31,78.75,-88.75,88.75,1.0,0,0.0195355822452041,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0061167122936681,1A_31,0
32,81.25,-88.75,88.75,1.0,0,0.0199017174813829,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059751668293944,1A_32,0
33,83.75,-88.75,88.75,1.0,0,0.0204981945496276,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0059305087741426,1A_33,0
34,86.25,-88.75,88.75,1.0,0,0.0205750099253751,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0058850326645666,1A_34,0
35,88.75,-88.75,88.75,1.0,0,0.0206908786354149,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0056900556059824,1A_35,0
36,91.25,-88.75,88.75,1.0,0,0.0202380723918469,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0055984373665972,1A_36,0
37,93.75,-88.75,88.75,1.0,0,0.0202559200473175,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.005506221417171,1A_37,0
38,96.25,-88.75,88.75,1.0,0,0.019696922384932,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0054376278234888,1A_38,0
39,98.75,-88.75,88.75,1.0,0,0.0198129595487507,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0053851782463727,1A_39,0
40,101.25,-88.75,88.75,1.0,0,0.0199928171649767,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0054406526470032,1A_40,0
41,103.75,-88.75,88.75,1.0,0,0.020007658949511,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0053798576741244,1A_41,0
42,106.25,-88.75,88.75,1.0,0,0.0197854875067384,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052129852065873,1A_42,0
43,108.75,-88.75,88.75,1.0,0,0.0200127002113826,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0051659837654583,1A_43,0
44,111.25,-88.75,88.75,1.0,0,0.0192217304988921,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052060694077215,1A_44,0
45,113.75,-88.75,88.75,1.0,0,0.0187621223838161,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.005266371789844,1A_45,0
46,116.25,-88.75,88.75,1.0,0,0.0189213749097929,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052139366425841,1A_46,0
47,118.75,-88.75,88.75,1.0,0,0.0183544620661873,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052806434828837,1A_47,0
48,121.25,-88.75,88.75,1.0,0,0.0187557209374082,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052859666567539,1A_48,0
49,123.75,-88.75,88.75,1.0,0,0.0180940945462234,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052667294842838,1A_49,0
50,126.25,-88.75,88.75,1.0,0,0.0176080099442153,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0052780169761998,1A_50,0
51,128.75,-88.75,88.75,1.0,0,0.0181924679694435,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0053158593400934,1A_51,0
52,131.25,-88.75,88.75,1.0,0,0.0180589790956283,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.005396347922102,1A_52,0
53,133.75,-88.75,88.75,1.0,0,0.0173845439382268,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0053143384584816,1A_53,0
54,136.25,-88.75,88.75,1.0,0,0.0173442120821158,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0051398710413587,1A_54,0
