grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,-359.34480464913923,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
1,3.75,-88.75,88.75,1.0,0,-359.34665086027786,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
2,6.25,-88.75,88.75,1.0,0,-359.40615527239845,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
3,8.75,-88.75,88.75,1.0,0,-359.4753290051713,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
4,11.25,-88.75,88.75,1.0,0,-359.54959213404226,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
5,13.75,-88.75,88.75,1.0,0,-359.6004676268253,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
6,16.25,-88.75,88.75,1.0,0,-359.59301558599134,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
7,18.75,-88.75,88.75,1.0,0,-359.5193969882576,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
8,21.25,-88.75,88.75,1.0,0,-359.37774814493537,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
9,23.75,-88.75,88.75,1.0,0,-359.18699695610366,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
10,26.25,-88.75,88.75,1.0,0,-358.9490315815177,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
11,28.75,-88.75,88.75,1.0,0,-358.7607326999009,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
12,31.25,-88.75,88.75,1.0,0,-358.66709710664736,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
13,33.75,-88.75,88.75,1.0,0,-358.63036467336434,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
14,36.25,-88.75,88.75,1.0,0,-358.6208164222956,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
15,38.75,-88.75,88.75,1.0,0,-358.6152318399145,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
16,41.25,-88.75,88.75,1.0,0,-358.61152150582205,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
17,43.75,-88.75,88.75,1.0,0,-358.6050609103828,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
18,46.25,-88.75,88.75,1.0,0,-358.5355823860262,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
19,48.75,-88.75,88.75,1.0,0,-358.34828704142006,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
20,51.25,-88.75,88.75,1.0,0,-358.0153495847395,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
21,53.75,-88.75,88.75,1.0,0,-357.63328046772403,1.3123714439127312,1.2,-0.1,0.0,0.0,-1.8350416488263037e-17,-0.0055584770953486535,-0.028618895317805038
