grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,-88.37174483007615,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
1,3.75,-88.75,88.75,1.0,0,-87.82098731347342,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
2,6.25,-88.75,88.75,1.0,0,-87.28478555210259,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
3,8.75,-88.75,88.75,1.0,0,-86.74160656581063,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
4,11.25,-88.75,88.75,1.0,0,-86.24934331002218,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
5,13.75,-88.75,88.75,1.0,0,-85.78707611081428,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
6,16.25,-88.75,88.75,1.0,0,-85.33926114276481,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
7,18.75,-88.75,88.75,1.0,0,-84.91135515990337,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
8,21.25,-88.75,88.75,1.0,0,-84.49987241751187,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
9,23.75,-88.75,88.75,1.0,0,-84.1201216503282,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
10,26.25,-88.75,88.75,1.0,0,-83.7280747786103,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
11,28.75,-88.75,88.75,1.0,0,-83.3381309153662,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
12,31.25,-88.75,88.75,1.0,0,-82.95733071379692,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
13,33.75,-88.75,88.75,1.0,0,-82.58714479657135,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
14,36.25,-88.75,88.75,1.0,0,-82.21566105618231,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
15,38.75,-88.75,88.75,1.0,0,-81.83764084307305,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
16,41.25,-88.75,88.75,1.0,0,-81.48991931226034,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
17,43.75,-88.75,88.75,1.0,0,-81.16550338270835,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
18,46.25,-88.75,88.75,1.0,0,-80.88780255900083,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
19,48.75,-88.75,88.75,1.0,0,-80.62338255891203,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
20,51.25,-88.75,88.75,1.0,0,-80.4124745403849,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
21,53.75,-88.75,88.75,1.0,0,-80.24931396782851,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
22,56.25,-88.75,88.75,1.0,0,-80.13385511035709,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
23,58.75,-88.75,88.75,1.0,0,-80.0554064319227,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
24,61.25,-88.75,88.75,1.0,0,-80.0965782560484,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
25,63.75,-88.75,88.75,1.0,0,-80.24562618631275,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
26,66.25,-88.75,88.75,1.0,0,-80.4477699971727,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
27,68.75,-88.75,88.75,1.0,0,-80.64576663207696,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
28,71.25,-88.75,88.75,1.0,0,-80.96428652899779,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
29,73.75,-88.75,88.75,1.0,0,-81.51304524095539,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
30,76.25,-88.75,88.75,1.0,0,-82.13932301770278,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
31,78.75,-88.75,88.75,1.0,0,-82.76118880369515,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
32,81.25,-88.75,88.75,1.0,0,-83.5367223170685,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
33,83.75,-88.75,88.75,1.0,0,-84.55461508917595,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
34,86.25,-88.75,88.75,1.0,0,-85.57716860227644,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
35,88.75,-88.75,88.75,1.0,0,-86.71899678075448,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
36,91.25,-88.75,88.75,1.0,0,-87.99939013479046,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
37,93.75,-88.75,88.75,1.0,0,-89.47886270108559,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
38,96.25,-88.75,88.75,1.0,0,-90.92021648237302,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
39,98.75,-88.75,88.75,1.0,0,-92.3911125799475,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
40,101.25,-88.75,88.75,1.0,0,-93.96706148488224,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
41,103.75,-88.75,88.75,1.0,0,-95.67718030425452,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
42,106.25,-88.75,88.75,1.0,0,-97.4086124652865,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
43,108.75,-88.75,88.75,1.0,0,-99.10100973924833,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
44,111.25,-88.75,88.75,1.0,0,-100.83605583731239,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
45,113.75,-88.75,88.75,1.0,0,-102.53337491446015,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
46,116.25,-88.75,88.75,1.0,0,-104.29910101638336,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
47,118.75,-88.75,88.75,1.0,0,-106.01567781921877,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
48,121.25,-88.75,88.75,1.0,0,-107.73871590417482,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
49,123.75,-88.75,88.75,1.0,0,-109.43643123152438,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
50,126.25,-88.75,88.75,1.0,0,-111.11941618466793,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
