grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,AMV_index,IPO_index,member,psl_trend_forced,row_id,member_id
0,1.25,-88.75,88.75,1.0,0,-334.5790488361672,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.14441373759232,1A_0,0
1,3.75,-88.75,88.75,1.0,0,-334.8636773350656,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.10178792673247,1A_1,0
2,6.25,-88.75,88.75,1.0,0,-335.16954090889965,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.05780736716315,1A_2,0
3,8.75,-88.75,88.75,1.0,0,-335.4732223540394,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.0137507316459,1A_3,0
4,11.25,-88.75,88.75,1.0,0,-335.8498535024814,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.96197305888472,1A_4,0
5,13.75,-88.75,88.75,1.0,0,-336.25681100361027,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.9085271925945,1A_5,0
6,16.25,-88.75,88.75,1.0,0,-336.661634234225,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.85285157850822,1A_6,0
7,18.75,-88.75,88.75,1.0,0,-337.14366402674364,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.78960483523468,1A_7,0
8,21.25,-88.75,88.75,1.0,0,-337.67322373744,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.71908934284596,1A_8,0
9,23.75,-88.75,88.75,1.0,0,-338.17316220307464,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.6556112356869,1A_9,0
10,26.25,-88.75,88.75,1.0,0,-338.76969070106304,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.57583882458698,1A_10,0
11,28.75,-88.75,88.75,1.0,0,-339.41506022968025,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.497792350785,1A_11,0
12,31.25,-88.75,88.75,1.0,0,-340.032126378195,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.4240858309898,1A_12,0
13,33.75,-88.75,88.75,1.0,0,-340.7603042390793,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.34347978174148,1A_13,0
14,36.25,-88.75,88.75,1.0,0,-341.49952194748016,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.2582514665877,1A_14,0
15,38.75,-88.75,88.75,1.0,0,-342.2128349088488,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.18097930163347,1A_15,0
16,41.25,-88.75,88.75,1.0,0,-343.0314681209849,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.09831564347488,1A_16,0
17,43.75,-88.75,88.75,1.0,0,-343.8878882673084,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.02083842825286,1A_17,0
18,46.25,-88.75,88.75,1.0,0,-344.6799511743799,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.95429078957852,1A_18,0
19,48.75,-88.75,88.75,1.0,0,-345.58226751491634,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.88264980053523,1A_19,0
20,51.25,-88.75,88.75,1.0,0,-346.5173968114576,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.82106709749644,1A_20,0
21,53.75,-88.75,88.75,1.0,0,-347.3686397012289,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.77033653714392,1A_21,0
22,56.25,-88.75,88.75,1.0,0,-348.3369968142576,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.72333138253393,1A_22,0
23,58.75,-88.75,88.75,1.0,0,-349.3311649269238,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.6845183596747,1A_23,0
24,61.25,-88.75,88.75,1.0,0,-350.2344255962025,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.65581873228044,1A_24,0
25,63.75,-88.75,88.75,1.0,0,-351.2464312524523,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.62851712959247,1A_25,0
26,66.25,-88.75,88.75,1.0,0,-352.2610256694672,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.60987984831044,1A_26,0
27,68.75,-88.75,88.75,1.0,0,-353.18594193691706,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.59340612294292,1A_27,0
28,71.25,-88.75,88.75,1.0,0,-354.20328889981664,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.57562484528052,1A_28,0
29,73.75,-88.75,88.75,1.0,0,-355.2180984180157,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.55518781595018,1A_29,0
30,76.25,-88.75,88.75,1.0,0,-356.1289043594213,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.53076011636446,1A_30,0
31,78.75,-88.75,88.75,1.0,0,-357.1293630576854,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.49545458618692,1A_31,0
32,81.25,-88.75,88.75,1.0,0,-358.10924498706635,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.4412622342665,1A_32,0
33,83.75,-88.75,88.75,1.0,0,-358.9698185102384,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.3739909132225,1A_33,0
34,86.25,-88.75,88.75,1.0,0,-359.90753589708714,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.2801695736028,1A_34,0
35,88.75,-88.75,88.75,1.0,0,-360.8273246994808,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.15845714924333,1A_35,0
36,91.25,-88.75,88.75,1.0,0,-361.6232528428734,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.02129298605735,1A_36,0
37,93.75,-88.75,88.75,1.0,0,-362.46741458813966,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.83516320484298,1A_37,0
38,96.25,-88.75,88.75,1.0,0,-363.2787290037701,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.6118997676437,1A_38,0
39,98.75,-88.75,88.75,1.0,0,-363.969428935186,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.3756922539063,1A_39,0
40,101.25,-88.75,88.75,1.0,0,-364.6837882634422,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.0750329445211,1A_40,0
41,103.75,-88.75,88.75,1.0,0,-365.3464556663158,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.73516999956706,1A_41,0
42,106.25,-88.75,88.75,1.0,0,-365.9129850226259,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.38819139630388,1A_42,0
43,108.75,-88.75,88.75,1.0,0,-366.4858478085681,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.96870914131352,1A_43,0
44,111.25,-88.75,88.75,1.0,0,-367.008562911511,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.51000203349182,1A_44,0
45,113.75,-88.75,88.75,1.0,0,-367.4309547912095,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.05881034673143,1A_45,0
46,116.25,-88.75,88.75,1.0,0,-367.8591142583105,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-166.53404341377814,1A_46,0
47,118.75,-88.75,88.75,1.0,0,-368.242631165757,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.97587320744083,1A_47,0
48,121.25,-88.75,88.75,1.0,0,-368.54205644513,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.4449873939592,1A_48,0
49,123.75,-88.75,88.75,1.0,0,-368.8346756196244,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.8420317125987,1A_49,0
50,126.25,-88.75,88.75,1.0,0,-369.0794706235699,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.22077952686365,1A_50,0
51,128.75,-88.75,88.75,1.0,0,-369.2685837268703,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-163.64548267825006,1A_51,0
52,131.25,-88.75,88.75,1.0,0,-369.4533038873028,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-163.00786896501955,1A_52,0
53,133.75,-88.75,88.75,1.0,0,-369.606610390766,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-162.3737936637107,1A_53,0
54,136.25,-88.75,88.75,1.0,0,-369.7186241522289,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-161.8051473613874,1A_54,0
55,138.75,-88.75,88.75,1.0,0,-369.8241161240395,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-161.19137950492322,1A_55,0
56,141.25,-88.75,88.75,1.0,0,-369.9120927536528,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.5981110128067,1A_56,0
57,143.75,-88.75,88.75,1.0,0,-369.98272494551486,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.08443109612196,1A_57,0
58,146.25,-88.75,88.75,1.0,0,-370.0486755756692,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.54878170962306,1A_58,0
59,148.75,-88.75,88.75,1.0,0,-370.1033879843642,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.05136553861752,1A_59,0
60,151.25,-88.75,88.75,1.0,0,-370.12773846729925,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.63567209405764,1A_60,0
61,153.75,-88.75,88.75,1.0,0,-370.1629350118749,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.22436701591934,1A_61,0
62,156.25,-88.75,88.75,1.0,0,-370.1872041428889,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.86259214787174,1A_62,0
63,158.75,-88.75,88.75,1.0,0,-370.19455118664223,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.57810591504702,1A_63,0
64,161.25,-88.75,88.75,1.0,0,-370.1786273568978,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.3123604496694,1A_64,0
65,163.75,-88.75,88.75,1.0,0,-370.16570816530793,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.10231376415624,1A_65,0
66,166.25,-88.75,88.75,1.0,0,-370.12867213966274,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.95426239413902,1A_66,0
67,168.75,-88.75,88.75,1.0,0,-370.0661247161744,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.84009624721685,1A_67,0
68,171.25,-88.75,88.75,1.0,0,-369.9759073413034,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.77415496046606,1A_68,0
69,173.75,-88.75,88.75,1.0,0,-369.8790736543482,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.75297005795653,1A_69,0
70,176.25,-88.75,88.75,1.0,0,-369.72863528809177,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.76637629798276,1A_70,0
71,178.75,-88.75,88.75,1.0,0,-369.54462391714185,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.82147982811807,1A_71,0
72,181.25,-88.75,88.75,1.0,0,-369.33952864776006,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-156.9019776039773,1A_72,0
73,183.75,-88.75,88.75,1.0,0,-369.07543565591067,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.01694075570478,1A_73,0
74,186.25,-88.75,88.75,1.0,0,-368.7598682581376,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.15703518416905,1A_74,0
75,188.75,-88.75,88.75,1.0,0,-368.4402297472042,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.30553413792288,1A_75,0
76,191.25,-88.75,88.75,1.0,0,-368.02726233795215,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.48731196125135,1A_76,0
77,193.75,-88.75,88.75,1.0,0,-367.5568171230986,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.68919981928474,1A_77,0
78,196.25,-88.75,88.75,1.0,0,-367.0881205889208,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-157.88339762743368,1A_78,0
