grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,2.1234269217446586,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
1,3.75,-88.75,88.75,1.0,0,2.126005227912485,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
2,6.25,-88.75,88.75,1.0,0,2.1303867810971666,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
3,8.75,-88.75,88.75,1.0,0,2.134159684780461,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
4,11.25,-88.75,88.75,1.0,0,2.139135555501873,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
5,13.75,-88.75,88.75,1.0,0,2.1544370412207257,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
6,16.25,-88.75,88.75,1.0,0,2.16924004144009,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
7,18.75,-88.75,88.75,1.0,0,2.1822638136988797,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
8,21.25,-88.75,88.75,1.0,0,2.191088149428318,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
9,23.75,-88.75,88.75,1.0,0,2.1990268257697743,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
10,26.25,-88.75,88.75,1.0,0,2.206878114468598,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
11,28.75,-88.75,88.75,1.0,0,2.2119885252432705,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
12,31.25,-88.75,88.75,1.0,0,2.215919356982986,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
13,33.75,-88.75,88.75,1.0,0,2.227981616311937,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
14,36.25,-88.75,88.75,1.0,0,2.2402275201791433,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
15,38.75,-88.75,88.75,1.0,0,2.249441730302719,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
16,41.25,-88.75,88.75,1.0,0,2.2569714340682374,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
17,43.75,-88.75,88.75,1.0,0,2.2670785468053594,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
18,46.25,-88.75,88.75,1.0,0,2.278189685194625,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
19,48.75,-88.75,88.75,1.0,0,2.286576065172165,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
20,51.25,-88.75,88.75,1.0,0,2.292516051183439,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
21,53.75,-88.75,88.75,1.0,0,2.303201230329242,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
22,56.25,-88.75,88.75,1.0,0,2.315122835317829,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
23,58.75,-88.75,88.75,1.0,0,2.332902007811058,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
24,61.25,-88.75,88.75,1.0,0,2.353470952986544,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
25,63.75,-88.75,88.75,1.0,0,2.369460656903897,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
26,66.25,-88.75,88.75,1.0,0,2.3816117544180275,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
27,68.75,-88.75,88.75,1.0,0,2.393943192998275,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
28,71.25,-88.75,88.75,1.0,0,2.4073382955930835,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
29,73.75,-88.75,88.75,1.0,0,2.4193740604618137,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
30,76.25,-88.75,88.75,1.0,0,2.4294180885366603,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
31,78.75,-88.75,88.75,1.0,0,2.4346929383202114,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
32,81.25,-88.75,88.75,1.0,0,2.437509094892595,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
33,83.75,-88.75,88.75,1.0,0,2.4451832172987698,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
34,86.25,-88.75,88.75,1.0,0,2.446913770180437,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
35,88.75,-88.75,88.75,1.0,0,2.4513355483504355,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
36,91.25,-88.75,88.75,1.0,0,2.451065549553406,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
37,93.75,-88.75,88.75,1.0,0,2.443040575669942,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
38,96.25,-88.75,88.75,1.0,0,2.434015248233866,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
39,98.75,-88.75,88.75,1.0,0,2.4255915773538232,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
40,101.25,-88.75,88.75,1.0,0,2.4203926903739075,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
41,103.75,-88.75,88.75,1.0,0,2.409021111178019,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
42,106.25,-88.75,88.75,1.0,0,2.404803649232284,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
43,108.75,-88.75,88.75,1.0,0,2.387849356670724,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
44,111.25,-88.75,88.75,1.0,0,2.3716815726008846,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
45,113.75,-88.75,88.75,1.0,0,2.3584846127974886,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
46,116.25,-88.75,88.75,1.0,0,2.3444587001822055,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
47,118.75,-88.75,88.75,1.0,0,2.3277253033557614,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
48,121.25,-88.75,88.75,1.0,0,2.310732209823755,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
49,123.75,-88.75,88.75,1.0,0,2.3019551349434386,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
50,126.25,-88.75,88.75,1.0,0,2.278899714217121,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
51,128.75,-88.75,88.75,1.0,0,2.261376401094734,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
52,131.25,-88.75,88.75,1.0,0,2.2415646059768948,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
53,133.75,-88.75,88.75,1.0,0,2.2229812962348627,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
54,136.25,-88.75,88.75,1.0,0,2.2021182308412133,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
55,138.75,-88.75,88.75,1.0,0,2.17757117542082,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
56,141.25,-88.75,88.75,1.0,0,2.1539577533653635,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
57,143.75,-88.75,88.75,1.0,0,2.1360746214940622,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
58,146.25,-88.75,88.75,1.0,0,2.1179574123734906,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
59,148.75,-88.75,88.75,1.0,0,2.097500009217555,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
60,151.25,-88.75,88.75,1.0,0,2.0764386370569414,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
61,153.75,-88.75,88.75,1.0,0,2.051313887603721,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
62,156.25,-88.75,88.75,1.0,0,2.0239247920879873,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
63,158.75,-88.75,88.75,1.0,0,1.9989678055309432,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
64,161.25,-88.75,88.75,1.0,0,1.9762379826917091,1.7158006506630457,1.2,-0.1,0.0,0.0,-2.669151489201896e-17,-0.013886033788162782,-0.05378805845689602
