grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,1.090515011394867,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
1,3.75,-88.75,88.75,1.0,0,1.0878936326799507,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
2,6.25,-88.75,88.75,1.0,0,1.0853376376003079,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
3,8.75,-88.75,88.75,1.0,0,1.0828173400411,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
4,11.25,-88.75,88.75,1.0,0,1.0818375761807206,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
5,13.75,-88.75,88.75,1.0,0,1.0818597781755486,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
6,16.25,-88.75,88.75,1.0,0,1.0824859306258159,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
7,18.75,-88.75,88.75,1.0,0,1.0835695333564523,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
8,21.25,-88.75,88.75,1.0,0,1.0857701220962142,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
9,23.75,-88.75,88.75,1.0,0,1.0885392588687932,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
10,26.25,-88.75,88.75,1.0,0,1.0914078785320298,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
11,28.75,-88.75,88.75,1.0,0,1.0944479071124313,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
12,31.25,-88.75,88.75,1.0,0,1.099111065633592,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
13,33.75,-88.75,88.75,1.0,0,1.104682749429353,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
14,36.25,-88.75,88.75,1.0,0,1.1102822536656152,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
15,38.75,-88.75,88.75,1.0,0,1.1160527710213979,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
16,41.25,-88.75,88.75,1.0,0,1.1224538463119749,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
17,43.75,-88.75,88.75,1.0,0,1.1299687902591398,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
18,46.25,-88.75,88.75,1.0,0,1.1379942526112667,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
